5225,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:0.0022222222222222222,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
18864,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0011111111111111111,az:0.0033333333333333335,q:   0.0,rV:     0,lV:     0,Camera:13,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.004004872845995305, 'y': 0.02867003301678758, 'z': 0.14964034988741856, 'roll': -157.88786001257427, 'pitch': -1.8612936025442028, 'yaw': -0.48900392938110204, 'norm': 0.15241471095050285, 'rvec': array([-2.7554533 ,  0.00301256, -0.0470573 ])}},AR-move:straight,Color-Approach:True,Color-data:x954y:818Area:45215.0,Color-move:stop,Done-Approach:False,Done-Connect:False
19888,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0033333333333333335,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:14,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.004004872845995305, 'y': 0.02867003301678758, 'z': 0.14964034988741856, 'roll': -157.88786001257427, 'pitch': -1.8612936025442028, 'yaw': -0.48900392938110204, 'norm': 0.15241471095050285, 'rvec': array([-2.7554533 ,  0.00301256, -0.0470573 ])}},AR-move:straight,Color-Approach:True,Color-data:x954y:818Area:45215.0,Color-move:stop,Done-Approach:False,Done-Connect:False
20910,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:15,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.004004872845995305, 'y': 0.02867003301678758, 'z': 0.14964034988741856, 'roll': -157.88786001257427, 'pitch': -1.8612936025442028, 'yaw': -0.48900392938110204, 'norm': 0.15241471095050285, 'rvec': array([-2.7554533 ,  0.00301256, -0.0470573 ])}},AR-move:straight,Color-Approach:True,Color-data:x954y:818Area:45215.0,Color-move:stop,Done-Approach:False,Done-Connect:False
21944,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:16,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.004004872845995305, 'y': 0.02867003301678758, 'z': 0.14964034988741856, 'roll': -157.88786001257427, 'pitch': -1.8612936025442028, 'yaw': -0.48900392938110204, 'norm': 0.15241471095050285, 'rvec': array([-2.7554533 ,  0.00301256, -0.0470573 ])}},AR-move:straight,Color-Approach:True,Color-data:x954y:818Area:45215.0,Color-move:stop,Done-Approach:False,Done-Connect:False
22938,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:17,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.004045068656159287, 'y': 0.028788779597472076, 'z': 0.15026608701594804, 'roll': -158.2789373788991, 'pitch': -2.3686512605688903, 'yaw': -0.3930916726212485, 'norm': 0.1530524528331034, 'rvec': array([-2.76208590e+00, -1.48018871e-03, -5.89185338e-02])}},AR-move:straight,Color-Approach:True,Color-data:x954y:818Area:45215.0,Color-move:stop,Done-Approach:False,Done-Connect:False
23945,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0033333333333333335,ay:   0.0,az:0.0033333333333333335,q:   0.0,rV:     0,lV:     0,Camera:18,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.004004872845995305, 'y': 0.02867003301678758, 'z': 0.14964034988741856, 'roll': -157.88786001257427, 'pitch': -1.8612936025442028, 'yaw': -0.48900392938110204, 'norm': 0.15241471095050285, 'rvec': array([-2.7554533 ,  0.00301256, -0.0470573 ])}},AR-move:straight,Color-Approach:True,Color-data:x954y:818Area:45215.0,Color-move:stop,Done-Approach:False,Done-Connect:False
25021,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0044444444444444444,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:19,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.004004872845995305, 'y': 0.02867003301678758, 'z': 0.14964034988741856, 'roll': -157.88786001257427, 'pitch': -1.8612936025442028, 'yaw': -0.48900392938110204, 'norm': 0.15241471095050285, 'rvec': array([-2.7554533 ,  0.00301256, -0.0470573 ])}},AR-move:straight,Color-Approach:True,Color-data:x954y:818Area:45215.0,Color-move:stop,Done-Approach:False,Done-Connect:False
26043,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0033333333333333335,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:20,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.004051739369419291, 'y': 0.02864245405986299, 'z': 0.149726424298726, 'roll': -157.98712305848287, 'pitch': -1.9370906347683663, 'yaw': -0.4925072582966429, 'norm': 0.15249527500801852, 'rvec': array([-2.75716464,  0.00278419, -0.04891653])}},AR-move:straight,Color-Approach:True,Color-data:x954y:818Area:45215.0,Color-move:stop,Done-Approach:False,Done-Connect:False
27060,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0033333333333333335,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:21,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.002843807448057937, 'y': 0.029580346362344162, 'z': 0.147187736583652, 'roll': -157.57761881237974, 'pitch': -0.4500444006104035, 'yaw': 0.2462235385730573, 'norm': 0.15015763028343385, 'rvec': array([-2.75020673, -0.00805029, -0.00962988])}},AR-move:straight,Color-Approach:True,Color-data:x954y:818Area:45215.0,Color-move:stop,Done-Approach:False,Done-Connect:False
28109,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:22,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.0028608159728548393, 'y': 0.03298635758716848, 'z': 0.1379182992294155, 'roll': -158.20797229793087, 'pitch': -1.0869651299813536, 'yaw': -0.07055527809006652, 'norm': 0.14183702378869095, 'rvec': array([-2.76114972, -0.00334179, -0.02651907])}},AR-move:back,Color-Approach:True,Color-data:x954y:818Area:45215.0,Color-move:stop,Done-Approach:False,Done-Connect:False
