5218,state:0,Time:16:58:52,Lat:35.55599333,Lng:139.65261167,ax:-0.08444444444444445,ay:0.0033333333333333335,az:0.0033333333333333335,q:   0.0,rV:     0,lV:     0,Camera:0
5516,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:-0.06666666666666667,ay:0.0011111111111111111,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:0
5552,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:-0.028888888888888888,ay:   0.0,az:0.0033333333333333335,q:   0.0,rV:     0,lV:     0,Camera:0
5587,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:0
5623,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:0.03888888888888889,ay:   0.0,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:0
5659,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:0.044444444444444446,ay:-0.0011111111111111111,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:0
5693,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:0.027777777777777776,ay:-0.0011111111111111111,az:0.0033333333333333335,q:   0.0,rV:     0,lV:     0,Camera:0
5728,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:0.0044444444444444444,ay:   0.0,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:0
5764,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:-0.025555555555555557,ay:0.0011111111111111111,az:0.0044444444444444444,q:   0.0,rV:     0,lV:     0,Camera:0
5803,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:-0.03666666666666667,ay:0.0011111111111111111,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:0
5839,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:-0.03111111111111111,ay:-0.0022222222222222222,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:0
5874,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:-0.011111111111111112,ay:   0.0,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:0
5912,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:0.014444444444444444,ay:   0.0,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:0
5946,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:0.023333333333333334,ay:-0.0022222222222222222,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:0
5980,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:0.015555555555555555,ay:   0.0,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:0
6014,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:0.006666666666666667,ay:-0.0022222222222222222,az:0.0044444444444444444,q:   0.0,rV:     0,lV:     0,Camera:0
6051,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:-0.011111111111111112,ay:   0.0,az:0.0033333333333333335,q:   0.0,rV:     0,lV:     0,Camera:0
6085,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax: -0.02,ay:-0.0033333333333333335,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:0
6119,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:-0.022222222222222223,ay:   0.0,az:0.0033333333333333335,q:   0.0,rV:     0,lV:     0,Camera:0
6154,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:-0.011111111111111112,ay:-0.0011111111111111111,az:0.0033333333333333335,q:   0.0,rV:     0,lV:     0,Camera:0
6189,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:0.0033333333333333335,q:   0.0,rV:     0,lV:     0,Camera:0
6224,state:0,Time:16:58:53,Lat:35.55599333,Lng:139.65261000,ax:0.011111111111111112,ay:0.0011111111111111111,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:0
