6621,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6658,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6695,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:0.0033333333333333335,ay:-0.006666666666666667,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6730,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:0.0011111111111111111,ay:0.0044444444444444444,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6768,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:-0.0022222222222222222,ay:   0.0,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
6805,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:0.0011111111111111111,ay:-0.0044444444444444444,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
6839,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:0.0022222222222222222,ay:0.0044444444444444444,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
6876,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:0.0022222222222222222,ay:   0.0,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6910,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:   0.0,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6946,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:0.0022222222222222222,ay:   0.0,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
6980,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7017,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:-0.0011111111111111111,ay:0.0033333333333333335,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7053,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:-0.0022222222222222222,ay:0.0022222222222222222,az:0.0033333333333333335,q:359.875,rV:     0,lV:     0,Camera:0
7088,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:0.0022222222222222222,ay:-0.14444444444444443,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7123,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
7158,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:-0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7196,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:-0.0033333333333333335,ay:0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7232,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:-0.0022222222222222222,ay:0.0033333333333333335,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7267,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:0.0011111111111111111,ay:0.0033333333333333335,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7303,state:0,Time:16:43:54,Lat:35.55522500,Lng:139.65507500,ax:   0.0,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7338,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:   0.0,ay:-0.0044444444444444444,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7372,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7409,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:   0.0,ay:   0.0,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
7446,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7482,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:0.0022222222222222222,ay:   0.0,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7519,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:   0.0,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7556,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:-0.0011111111111111111,ay:   0.0,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7593,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7628,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:-0.0022222222222222222,ay:0.0022222222222222222,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7666,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:-0.0011111111111111111,ay:   0.0,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7703,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:   0.0,ay:0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7737,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7774,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:   0.0,ay:0.0022222222222222222,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7810,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:-0.0022222222222222222,ay:0.0022222222222222222,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7847,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7884,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:-0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:-1328.125,rV:     0,lV:     0,Camera:0
7918,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:0.0011111111111111111,ay:   0.0,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
7955,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:   0.0,ay:-0.0022222222222222222,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
7989,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:   0.0,ay:0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8025,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:   0.0,ay:-0.0044444444444444444,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
8062,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
8097,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8134,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:0.0011111111111111111,ay:0.0033333333333333335,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
8169,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:0.0011111111111111111,ay:-0.0033333333333333335,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8205,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:   0.0,ay:0.0033333333333333335,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
8241,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:   0.0,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8275,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:-0.0011111111111111111,ay:-0.0033333333333333335,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8312,state:0,Time:16:43:55,Lat:35.55522500,Lng:139.65507667,ax:-0.0011111111111111111,ay:-0.0033333333333333335,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
8347,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:-0.0022222222222222222,ay:0.0022222222222222222,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
8385,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8420,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
8456,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8494,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
8532,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:   0.0,ay:0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8566,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:   0.0,ay:-0.0011111111111111111,az:0.0033333333333333335,q:359.875,rV:     0,lV:     0,Camera:0
8604,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:0.0011111111111111111,ay:0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8642,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:   0.0,ay:-0.0011111111111111111,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
8676,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:-0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
