5209,state:3,Time:09:34:33,Lat:0.00000000,Lng:0.00000000,ax:-0.6577777777777778,ay:0.11888888888888889,az:0.12222222222222222,q:   0.0,Camera:0,rV:     0,lV:     0,Color-Approach:False,Color-data: x:0y:0Area:0,Color-move:none,gx:   0.0,gy:   0.0,gz:   0.0,mirrer-detection:False
5626,state:3,Time:09:34:34,Lat:0.00000000,Lng:0.00000000,ax:0.024444444444444446,ay:-0.06777777777777778,az:0.10333333333333333,q:358.75,Camera:1,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.17,gy:  -2.3,gz:  9.53,mirrer-detection:False
6043,state:3,Time:09:34:34,Lat:0.00000000,Lng:0.00000000,ax:-0.2011111111111111,ay:0.49444444444444446,az:0.37333333333333335,q:   1.0,Camera:2,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:  0.67,gy: -1.84,gz:   9.6,mirrer-detection:False
6464,state:3,Time:09:34:35,Lat:0.00000000,Lng:0.00000000,ax:-0.03666666666666667,ay:0.07222222222222222,az:  -0.1,q:358.1875,Camera:3,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.02,gy:  -1.8,gz:  9.63,mirrer-detection:False
6869,state:3,Time:09:34:35,Lat:0.00000000,Lng:0.00000000,ax:-0.024444444444444446,ay:-0.008888888888888889,az:-0.03666666666666667,q:359.1875,Camera:4,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:  0.23,gy: -1.84,gz:  9.62,mirrer-detection:False
7271,state:3,Time:09:34:35,Lat:0.00000000,Lng:0.00000000,ax:0.06666666666666667,ay:-0.2411111111111111,az: -0.03,q:358.9375,Camera:5,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:  0.29,gy: -1.88,gz:  9.61,mirrer-detection:False
7674,state:3,Time:09:34:36,Lat:0.00000000,Lng:0.00000000,ax:0.06666666666666667,ay: -0.02,az:-0.02666666666666667,q: 359.0,Camera:6,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:  0.37,gy: -1.75,gz:  9.64,mirrer-detection:False
8080,state:3,Time:09:34:36,Lat:0.00000000,Lng:0.00000000,ax: -0.07,ay:-0.014444444444444444,az:0.005555555555555556,q:358.9375,Camera:7,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:   0.5,gy: -1.75,gz:  9.63,mirrer-detection:False
8488,state:3,Time:09:34:37,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:-0.0033333333333333335,az:0.0011111111111111111,q:174.3125,Camera:8,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.25,gy: -1.95,gz:  -9.6,mirrer-detection:False
8890,state:3,Time:09:34:37,Lat:0.00000000,Lng:0.00000000,ax:0.04666666666666667,ay:  0.01,az:-0.017777777777777778,q:174.125,Camera:9,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.28,gy: -1.93,gz:  -9.6,mirrer-detection:False
9294,state:3,Time:09:34:37,Lat:0.00000000,Lng:0.00000000,ax:-0.011111111111111112,ay:0.0022222222222222222,az:-0.008888888888888889,q:174.0625,Camera:10,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:  -0.3,gy: -1.89,gz: -9.61,mirrer-detection:False
