5222,state:6,Time:19:15:16,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0033333333333333335,az:-0.0011111111111111111,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:0,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
22223,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0044444444444444444,az:   0.0,q:   8.0,Camera:12,rV:     0,lV:    80,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.0544772036624469, 'y': 0.0354457393957522, 'z': 0.15932952548828683, 'roll': -145.88262769350584, 'pitch': -37.3539542569046, 'yaw': -15.16190500016147, 'norm': 0.1720757503325612, 'rvec': array([-2.49730739,  0.0723329 , -0.93327698])}},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
23550,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:   0.0,Camera:13,rV:     0,lV:    80,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.0544772036624469, 'y': 0.0354457393957522, 'z': 0.15932952548828683, 'roll': -145.88262769350584, 'pitch': -37.3539542569046, 'yaw': -15.16190500016147, 'norm': 0.1720757503325612, 'rvec': array([-2.49730739,  0.0723329 , -0.93327698])}, '11': {'x': 0.02485501679069842, 'y': 0.03256657283047586, 'z': 0.16392999726440918, 'roll': -147.28771990190128, 'pitch': 44.25339517379787, 'yaw': 26.250169714521753, 'norm': 0.1689715879332907, 'rvec': array([-2.52522601, -0.27968436,  1.16709025])}},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
25094,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:0.14222222222222222,ay:-0.0011111111111111111,az:0.0011111111111111111,q:   8.0,Camera:14,rV:     0,lV:    80,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.05377011546741562, 'y': 0.035836290863065494, 'z': 0.15950900122990191, 'roll': -146.11746410100648, 'pitch': -38.35752336912713, 'yaw': -15.428511108139167, 'norm': 0.17210051288000944, 'rvec': array([-2.4978773 ,  0.07266641, -0.95813153])}},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
26400,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0011111111111111111,az:0.0011111111111111111,q:   0.0,Camera:15,rV:     0,lV:    80,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.04922556001732026, 'y': 0.035691239397332986, 'z': 0.1588651696675068, 'roll': -145.6027830257697, 'pitch': -37.38340080332457, 'yaw': -15.71723829343466, 'norm': 0.17010338756833226, 'rvec': array([-2.49449818,  0.08190025, -0.93696636])}, '11': {'x': 0.019751395917405035, 'y': 0.03321222685065275, 'z': 0.16433838217721622, 'roll': -146.62574618382752, 'pitch': 43.68569459560767, 'yaw': 26.030476931427106, 'norm': 0.16882024022518768, 'rvec': array([-2.51668908, -0.27177628,  1.15119796])}},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
27985,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0033333333333333335,az:0.0011111111111111111,q:   0.0,Camera:16,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.04942679257081154, 'y': 0.03581949220218763, 'z': 0.1594393436332839, 'roll': -145.8211161441963, 'pitch': -37.52031505969949, 'yaw': -15.81259671276023, 'norm': 0.17072477308133405, 'rvec': array([-2.49775717,  0.08482127, -0.94135898])}, '11': {'x': 0.019669650456663152, 'y': 0.033116488922332626, 'z': 0.1638643978090583, 'roll': -147.5454779737082, 'pitch': 43.88670108454888, 'yaw': 25.128502249115144, 'norm': 0.16833044245458276, 'rvec': array([-2.52753621, -0.26015258,  1.15212604])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
29277,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:0.14333333333333334,ay:-0.0011111111111111111,az:   0.0,q:   8.0,Camera:17,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.04942679257081154, 'y': 0.03581949220218763, 'z': 0.1594393436332839, 'roll': -145.8211161441963, 'pitch': -37.52031505969949, 'yaw': -15.81259671276023, 'norm': 0.17072477308133405, 'rvec': array([-2.49775717,  0.08482127, -0.94135898])}, '11': {'x': 0.019669650456663152, 'y': 0.033116488922332626, 'z': 0.1638643978090583, 'roll': -147.5454779737082, 'pitch': 43.88670108454888, 'yaw': 25.128502249115144, 'norm': 0.16833044245458276, 'rvec': array([-2.52753621, -0.26015258,  1.15212604])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
30848,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:0.0033333333333333335,ay:   0.0,az:-0.0011111111111111111,q:   8.0,Camera:18,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.04942679257081154, 'y': 0.03581949220218763, 'z': 0.1594393436332839, 'roll': -145.8211161441963, 'pitch': -37.52031505969949, 'yaw': -15.81259671276023, 'norm': 0.17072477308133405, 'rvec': array([-2.49775717,  0.08482127, -0.94135898])}, '11': {'x': 0.019669650456663152, 'y': 0.033116488922332626, 'z': 0.1638643978090583, 'roll': -147.5454779737082, 'pitch': 43.88670108454888, 'yaw': 25.128502249115144, 'norm': 0.16833044245458276, 'rvec': array([-2.52753621, -0.26015258,  1.15212604])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
32254,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:   0.0,az:   0.0,q:   0.0,Camera:19,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.04899837992277624, 'y': 0.03627492335562792, 'z': 0.15747905118718053, 'roll': -145.62802391373933, 'pitch': -37.37408591534692, 'yaw': -15.577206082569896, 'norm': 0.16886788582299486, 'rvec': array([-2.49449249,  0.07911948, -0.93584677])}, '11': {'x': 0.019329601724928314, 'y': 0.033525685539599226, 'z': 0.1616851516325865, 'roll': -146.04889519937402, 'pitch': 43.95843696941312, 'yaw': 25.93297607047506, 'norm': 0.16625189728901424, 'rvec': array([-2.50679288, -0.26094031,  1.15517878])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
33215,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:-0.0033333333333333335,ay:   0.0,az:-0.0011111111111111111,q:   0.0,Camera:20,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.049090903170339435, 'y': 0.03718001883115082, 'z': 0.15383739929894136, 'roll': -145.07599992882365, 'pitch': -37.4282600204795, 'yaw': -16.439206162211516, 'norm': 0.16570520811798975, 'rvec': array([-2.48816936,  0.09284505, -0.94145353])}, '11': {'x': 0.01959974177239941, 'y': 0.03476988543136677, 'z': 0.15898948356929263, 'roll': -146.22070219353571, 'pitch': 43.53748652640608, 'yaw': 26.04723107881931, 'norm': 0.16392300233977378, 'rvec': array([-2.51111701, -0.26881634,  1.14697343])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
34887,state:6,Time:19:15:17,Lat:0.00000000,Lng:0.00000000,ax:0.1511111111111111,ay:-0.006666666666666667,az:   0.0,q:367.9375,Camera:21,rV:    80,lV:    85,ConnectingState:0,AR-Approach:True,AR-info:{'2': {'x': 0.04909027864090447, 'y': 0.03708950893815836, 'z': 0.15383418228148293, 'roll': -145.0457681040153, 'pitch': -37.422210120189554, 'yaw': -16.466076754433463, 'norm': 0.1656817514650539, 'rvec': array([-2.48779196,  0.09321884, -0.94141949])}, '11': {'x': 0.019561212829502232, 'y': 0.03456796676721132, 'z': 0.1584860197336331, 'roll': -145.8984063101551, 'pitch': 43.39103610259479, 'yaw': 25.908823966779746, 'norm': 0.16338728171063271, 'rvec': array([-2.50638541, -0.26331653,  1.1419576 ])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
