6737,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:0.0011111111111111111,ay:-0.0033333333333333335,az:   0.0,q:   0.0,Camera:0
6774,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:0.0011111111111111111,ay:0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,Camera:0
6807,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:   0.0,ay:   0.0,az:   0.0,q:   0.0,Camera:0
6843,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:0.0011111111111111111,ay:-0.005555555555555556,az:0.0011111111111111111,q:   0.0,Camera:0
6876,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:0.0022222222222222222,ay:0.005555555555555556,az:   0.0,q:   0.0,Camera:0
6914,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:-0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:   0.0,Camera:0
6948,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:0.0022222222222222222,ay:0.0033333333333333335,az:-0.0022222222222222222,q:   0.0,Camera:0
6985,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:   0.0,ay:0.0022222222222222222,az:-0.0011111111111111111,q:   0.0,Camera:0
7020,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:0.0011111111111111111,ay:-0.0033333333333333335,az:   0.0,q:   0.0,Camera:0
7055,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:0.0011111111111111111,ay:   0.0,az:   0.0,q:   0.0,Camera:0
7089,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:0.0022222222222222222,ay:-0.0022222222222222222,az:-0.0022222222222222222,q:   0.0,Camera:0
7124,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:   0.0,ay:0.005555555555555556,az:   0.0,q:   0.0,Camera:0
7160,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:0.0011111111111111111,ay:0.0022222222222222222,az:0.0011111111111111111,q:   0.0,Camera:0
7195,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:0.0022222222222222222,ay:-0.0033333333333333335,az:   0.0,q:   0.0,Camera:0
