5304,state:6,Time:21:43:53,Lat:0.00000000,Lng:0.00000000,ax:-0.0033333333333333335,ay:0.0022222222222222222,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
18917,state:6,Time:21:44:07,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0011111111111111111,az:0.0011111111111111111,q: 0.125,rV:     0,lV:     0,Camera:13,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
19946,state:6,Time:21:44:08,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0022222222222222222,az:0.0011111111111111111,q: 0.125,rV:     0,lV:     0,Camera:14,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0005930429664743256, 'y': 0.037916252972705386, 'z': 0.15720030608191285, 'roll': -154.72151560403955, 'pitch': -0.16046256370937031, 'yaw': -0.25054180225048717, 'norm': 0.16170940038135495, 'rvec': array([-2.70039795,  0.00505617, -0.00510534])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
20954,state:6,Time:21:44:09,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0011111111111111111,az:0.0011111111111111111,q: 0.125,rV:     0,lV:     0,Camera:15,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0005930429664743256, 'y': 0.037916252972705386, 'z': 0.15720030608191285, 'roll': -154.72151560403955, 'pitch': -0.16046256370937031, 'yaw': -0.25054180225048717, 'norm': 0.16170940038135495, 'rvec': array([-2.70039795,  0.00505617, -0.00510534])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
22004,state:6,Time:21:44:10,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0044444444444444444,az:   0.0,q: 0.125,rV:     0,lV:     0,Camera:16,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
23027,state:6,Time:21:44:11,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0011111111111111111,q: 0.125,rV:     0,lV:     0,Camera:17,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
24055,state:6,Time:21:44:12,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0022222222222222222,az:   0.0,q: 0.125,rV:     0,lV:     0,Camera:18,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
25167,state:6,Time:21:44:13,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0011111111111111111,az:-0.0022222222222222222,q: 0.125,rV:     0,lV:     0,Camera:19,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
26185,state:6,Time:21:44:14,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0022222222222222222,q: 0.125,rV:     0,lV:     0,Camera:20,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
27176,state:6,Time:21:44:15,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:0.0011111111111111111,q: 0.125,rV:     0,lV:     0,Camera:21,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
28217,state:6,Time:21:44:16,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0022222222222222222,az:-0.0022222222222222222,q: 0.125,rV:     0,lV:     0,Camera:22,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
