5235,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
18771,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:0.0022222222222222222,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:13,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012323149887056076, 'y': 0.03212639906201896, 'z': 0.15374570790042347, 'roll': -152.6303426120547, 'pitch': -43.93756394071785, 'yaw': -12.811603506065111, 'norm': 0.15754906612745528, 'rvec': array([-2.5617247 ,  0.03559244, -1.09137561])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
19833,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:14,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012323149887056076, 'y': 0.03212639906201896, 'z': 0.15374570790042347, 'roll': -152.6303426120547, 'pitch': -43.93756394071785, 'yaw': -12.811603506065111, 'norm': 0.15754906612745528, 'rvec': array([-2.5617247 ,  0.03559244, -1.09137561])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
20845,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:   0.0,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:15,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012285841706118048, 'y': 0.032109880899900786, 'z': 0.15356160363019342, 'roll': -152.98921048093035, 'pitch': -44.42756377025234, 'yaw': -12.413357945805737, 'norm': 0.15736312295868507, 'rvec': array([-2.56249273,  0.0270541 , -1.10163461])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
21839,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0011111111111111111,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:16,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
22868,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0033333333333333335,az:-0.0033333333333333335,q:   0.0,rV:     0,lV:     0,Camera:17,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012323149887056076, 'y': 0.03212639906201896, 'z': 0.15374570790042347, 'roll': -152.6303426120547, 'pitch': -43.93756394071785, 'yaw': -12.811603506065111, 'norm': 0.15754906612745528, 'rvec': array([-2.5617247 ,  0.03559244, -1.09137561])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
23871,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0022222222222222222,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:18,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012285841706118048, 'y': 0.032109880899900786, 'z': 0.15356160363019342, 'roll': -152.98921048093035, 'pitch': -44.42756377025234, 'yaw': -12.413357945805737, 'norm': 0.15736312295868507, 'rvec': array([-2.56249273,  0.0270541 , -1.10163461])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
24907,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:19,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012323149887056076, 'y': 0.03212639906201896, 'z': 0.15374570790042347, 'roll': -152.6303426120547, 'pitch': -43.93756394071785, 'yaw': -12.811603506065111, 'norm': 0.15754906612745528, 'rvec': array([-2.5617247 ,  0.03559244, -1.09137561])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
25947,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:   0.0,az:-0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:20,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012285841706118048, 'y': 0.032109880899900786, 'z': 0.15356160363019342, 'roll': -152.98921048093035, 'pitch': -44.42756377025234, 'yaw': -12.413357945805737, 'norm': 0.15736312295868507, 'rvec': array([-2.56249273,  0.0270541 , -1.10163461])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
26940,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:0.005555555555555556,az:-0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:21,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012323149887056076, 'y': 0.03212639906201896, 'z': 0.15374570790042347, 'roll': -152.6303426120547, 'pitch': -43.93756394071785, 'yaw': -12.811603506065111, 'norm': 0.15754906612745528, 'rvec': array([-2.5617247 ,  0.03559244, -1.09137561])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
27943,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.005555555555555556,ay:-0.0033333333333333335,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:22,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012314985050389103, 'y': 0.03212657924165374, 'z': 0.15364084098096523, 'roll': -153.16948374420363, 'pitch': -44.04921703295386, 'yaw': -12.421496397694954, 'norm': 0.15744613036813515, 'rvec': array([-2.56764084,  0.03135306, -1.09383843])}},AR-move:straight-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
28986,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0044444444444444444,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:23,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012706900142699002, 'y': 0.032652349480824606, 'z': 0.14926276158205457, 'roll': -153.55429315899457, 'pitch': -38.66361470000797, 'yaw': -10.155635795565134, 'norm': 0.15331997010486173, 'rvec': array([-2.59535208,  0.0165566 , -0.9576702 ])}},AR-move:stay-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
30013,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:   0.0,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:24,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012712427217739316, 'y': 0.03269884992463251, 'z': 0.1495821710592822, 'roll': -154.13701419280983, 'pitch': -39.7377964801764, 'yaw': -9.783011314399403, 'norm': 0.15364129162099727, 'rvec': array([-2.59699892,  0.00671618, -0.98256042])}},AR-move:stay-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
31019,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:   0.0,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:25,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.012747227175357234, 'y': 0.03259871963681205, 'z': 0.1492174617835686, 'roll': -153.57989684568398, 'pitch': -38.70753186135697, 'yaw': -10.147212134113918, 'norm': 0.1532678023061282, 'rvec': array([-2.59548394,  0.01631936, -0.95873349])}},AR-move:stay-right,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
32038,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0044444444444444444,az:-0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:26,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.010689406023126406, 'y': 0.03201878416703994, 'z': 0.14825864331115957, 'roll': -155.47833361674438, 'pitch': 34.98559435347445, 'yaw': 15.958171421288942, 'norm': 0.15205292255372266, 'rvec': array([-2.66256316, -0.18903284,  0.91148972])}},AR-move:stay-left,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
