5266,state:6,Time:09:12:45,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:0,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
16823,state:6,Time:09:12:57,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:-0.005555555555555556,az:0.0033333333333333335,q:359.9375,Camera:12,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'16': {'x': 0.020450341772743255, 'y': 0.024918685469544954, 'z': 0.15559597054109275, 'roll': 176.57725220330832, 'pitch': -68.2642024359328, 'yaw': -81.87812621219521, 'norm': 0.15890016807032245, 'rvec': array([ 1.5633991 , -1.41260656,  1.03748715])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
17770,state:6,Time:09:12:58,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:   0.0,az:-0.0011111111111111111,q:359.9375,Camera:13,rV:    80,lV:     0,ConnectingState:0,AR-Approach:False,AR-info:{},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
18695,state:6,Time:09:12:59,Lat:0.00000000,Lng:0.00000000,ax:0.0033333333333333335,ay:   0.0,az:-0.0022222222222222222,q:359.9375,Camera:14,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'16': {'x': 0.014734461468047176, 'y': 0.022368960310014646, 'z': 0.1721902307008002, 'roll': -162.4950592840422, 'pitch': -56.21626334723314, 'yaw': 78.50920925923003, 'norm': 0.17426115542168075, 'rvec': array([-1.59403518, -1.53696258, -0.69776995])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
19649,state:6,Time:09:13:00,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0044444444444444444,az:   0.0,q:359.9375,Camera:15,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'16': {'x': 0.014725987481289693, 'y': 0.02238266233158469, 'z': 0.1720989303116539, 'roll': -162.2633815686832, 'pitch': -55.90651423133267, 'yaw': 78.62543486495358, 'norm': 0.17417198424191058, 'rvec': array([-1.59332451, -1.54112713, -0.68863606])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
20665,state:6,Time:09:13:01,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:0.0011111111111111111,q:359.9375,Camera:16,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'16': {'x': 0.014725987481289693, 'y': 0.02238266233158469, 'z': 0.1720989303116539, 'roll': -162.2633815686832, 'pitch': -55.90651423133267, 'yaw': 78.62543486495358, 'norm': 0.17417198424191058, 'rvec': array([-1.59332451, -1.54112713, -0.68863606])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
21605,state:6,Time:09:13:02,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:   0.0,az:   0.0,q:359.9375,Camera:17,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'16': {'x': 0.014725987481289693, 'y': 0.02238266233158469, 'z': 0.1720989303116539, 'roll': -162.2633815686832, 'pitch': -55.90651423133267, 'yaw': 78.62543486495358, 'norm': 0.17417198424191058, 'rvec': array([-1.59332451, -1.54112713, -0.68863606])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
22554,state:6,Time:09:13:03,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.005555555555555556,az:   0.0,q:359.9375,Camera:18,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'16': {'x': 0.014725987481289693, 'y': 0.02238266233158469, 'z': 0.1720989303116539, 'roll': -162.2633815686832, 'pitch': -55.90651423133267, 'yaw': 78.62543486495358, 'norm': 0.17417198424191058, 'rvec': array([-1.59332451, -1.54112713, -0.68863606])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
23509,state:6,Time:09:13:04,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.005555555555555556,az:   0.0,q:359.9375,Camera:19,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'16': {'x': 0.014725987481289693, 'y': 0.02238266233158469, 'z': 0.1720989303116539, 'roll': -162.2633815686832, 'pitch': -55.90651423133267, 'yaw': 78.62543486495358, 'norm': 0.17417198424191058, 'rvec': array([-1.59332451, -1.54112713, -0.68863606])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
24448,state:6,Time:09:13:05,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.9375,Camera:20,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'16': {'x': 0.014725987481289693, 'y': 0.02238266233158469, 'z': 0.1720989303116539, 'roll': -162.2633815686832, 'pitch': -55.90651423133267, 'yaw': 78.62543486495358, 'norm': 0.17417198424191058, 'rvec': array([-1.59332451, -1.54112713, -0.68863606])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
25423,state:6,Time:09:13:06,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:   0.0,az:   0.0,q:359.9375,Camera:21,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'16': {'x': 0.014725987481289693, 'y': 0.02238266233158469, 'z': 0.1720989303116539, 'roll': -162.2633815686832, 'pitch': -55.90651423133267, 'yaw': 78.62543486495358, 'norm': 0.17417198424191058, 'rvec': array([-1.59332451, -1.54112713, -0.68863606])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
26382,state:6,Time:09:13:07,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:-0.0044444444444444444,q:359.9375,Camera:22,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'16': {'x': 0.014725987481289693, 'y': 0.02238266233158469, 'z': 0.1720989303116539, 'roll': -162.2633815686832, 'pitch': -55.90651423133267, 'yaw': 78.62543486495358, 'norm': 0.17417198424191058, 'rvec': array([-1.59332451, -1.54112713, -0.68863606])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
27319,state:6,Time:09:13:08,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:359.9375,Camera:23,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'16': {'x': 0.014725987481289693, 'y': 0.02238266233158469, 'z': 0.1720989303116539, 'roll': -162.2633815686832, 'pitch': -55.90651423133267, 'yaw': 78.62543486495358, 'norm': 0.17417198424191058, 'rvec': array([-1.59332451, -1.54112713, -0.68863606])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
28255,state:6,Time:09:13:08,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.9375,Camera:24,rV:    80,lV:     0,ConnectingState:0,AR-Approach:True,AR-info:{'16': {'x': 0.014725987481289693, 'y': 0.02238266233158469, 'z': 0.1720989303116539, 'roll': -162.2633815686832, 'pitch': -55.90651423133267, 'yaw': 78.62543486495358, 'norm': 0.17417198424191058, 'rvec': array([-1.59332451, -1.54112713, -0.68863606])}},AR-move:straight-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
