12579,state:3,Time:09:28:26,Lat:0.00000000,Lng:0.00000000,ax:-0.11555555555555555,ay:-0.035555555555555556,az:-0.0033333333333333335,q:192.9375,Camera:19,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.43,gy: -3.63,gz: -9.09,mirrer-detection:False
12973,state:3,Time:09:28:26,Lat:0.00000000,Lng:0.00000000,ax:0.051111111111111114,ay:0.016666666666666666,az:-0.03666666666666667,q:192.875,Camera:20,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.37,gy: -3.59,gz: -9.11,mirrer-detection:False
13380,state:3,Time:09:28:27,Lat:0.00000000,Lng:0.00000000,ax:-0.025555555555555557,ay:-0.04555555555555556,az:0.005555555555555556,q:192.875,Camera:21,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.44,gy: -3.53,gz: -9.13,mirrer-detection:False
13784,state:3,Time:09:28:27,Lat:0.00000000,Lng:0.00000000,ax:0.04888888888888889,ay:-0.027777777777777776,az: -0.02,q:192.6875,Camera:22,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.43,gy: -3.52,gz: -9.14,mirrer-detection:False
14170,state:3,Time:09:28:27,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:-0.015555555555555555,az:  0.01,q: 192.5,Camera:23,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:  -0.5,gy: -3.54,gz: -9.13,mirrer-detection:False
14558,state:3,Time:09:28:28,Lat:0.00000000,Lng:0.00000000,ax:  0.12,ay:-0.014444444444444444,az:-0.005555555555555556,q:192.375,Camera:24,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:  -0.5,gy: -3.54,gz: -9.13,mirrer-detection:False
14944,state:3,Time:09:28:28,Lat:0.00000000,Lng:0.00000000,ax:  -0.1,ay:-0.027777777777777776,az:-0.008888888888888889,q: 192.5,Camera:25,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.54,gy: -3.55,gz: -9.12,mirrer-detection:False
15332,state:3,Time:09:28:29,Lat:0.00000000,Lng:0.00000000,ax:  -0.1,ay:-0.014444444444444444,az:  0.04,q:192.75,Camera:26,rV:     0,lV:     0,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.61,gy: -3.58,gz:  -9.1,mirrer-detection:True
15737,state:3,Time:09:28:29,Lat:0.00000000,Lng:0.00000000,ax:-0.027777777777777776,ay:0.10111111111111111,az:-0.008888888888888889,q:192.8125,Camera:27,rV:     0,lV:     0,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:  -0.6,gy: -3.56,gz: -9.11,mirrer-detection:True
16132,state:3,Time:09:28:29,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:0.015555555555555555,az:-0.0044444444444444444,q:192.6875,Camera:28,rV:     0,lV:     0,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.52,gy: -3.53,gz: -9.13,mirrer-detection:True
16537,state:3,Time:09:28:30,Lat:0.00000000,Lng:0.00000000,ax:-0.012222222222222223,ay:-0.016666666666666666,az:0.0077777777777777776,q:192.5625,Camera:29,rV:     0,lV:     0,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:  -0.5,gy:  -3.5,gz: -9.14,mirrer-detection:True
16935,state:3,Time:09:28:30,Lat:0.00000000,Lng:0.00000000,ax:0.012222222222222223,ay: -0.01,az:   0.0,q: 192.5,Camera:30,rV:     0,lV:     0,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.48,gy: -3.47,gz: -9.15,mirrer-detection:True
17336,state:3,Time:09:28:31,Lat:0.00000000,Lng:0.00000000,ax:0.017777777777777778,ay:-0.03333333333333333,az:0.0044444444444444444,q:192.4375,Camera:31,rV:     0,lV:     0,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.52,gy: -3.47,gz: -9.15,mirrer-detection:True
17738,state:3,Time:09:28:31,Lat:0.00000000,Lng:0.00000000,ax:-0.017777777777777778,ay:  0.02,az:0.0077777777777777776,q: 192.5,Camera:32,rV:     0,lV:     0,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.54,gy: -3.38,gz: -9.18,mirrer-detection:True
18132,state:3,Time:09:28:31,Lat:0.00000000,Lng:0.00000000,ax:-0.013333333333333334,ay:-0.013333333333333334,az:0.0022222222222222222,q:192.4375,Camera:33,rV:     0,lV:     0,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:  -0.5,gy: -3.32,gz: -9.21,mirrer-detection:True
18534,state:3,Time:09:28:32,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.005555555555555556,az: -0.02,q:192.625,Camera:34,rV:     0,lV:     0,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.51,gy:  -3.3,gz: -9.21,mirrer-detection:True
18927,state:3,Time:09:28:32,Lat:0.00000000,Lng:0.00000000,ax:-0.03333333333333333,ay:-0.07555555555555556,az:-0.011111111111111112,q:192.625,Camera:35,rV:     0,lV:     0,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.51,gy: -3.26,gz: -9.23,mirrer-detection:True
19325,state:3,Time:09:28:32,Lat:0.00000000,Lng:0.00000000,ax: -0.04,ay:0.028888888888888888,az:0.017777777777777778,q:193.125,Camera:36,rV:     0,lV:     0,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.54,gy: -3.25,gz: -9.23,mirrer-detection:True
19721,state:3,Time:09:28:33,Lat:0.00000000,Lng:0.00000000,ax:-0.14222222222222222,ay:  0.05,az:-0.03666666666666667,q:193.0625,Camera:37,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.39,gy: -3.25,gz: -9.24,mirrer-detection:True
20121,state:3,Time:09:28:33,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:0.022222222222222223,az:-0.006666666666666667,q: 193.0,Camera:38,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.32,gy: -3.16,gz: -9.27,mirrer-detection:True
20525,state:3,Time:09:28:34,Lat:0.00000000,Lng:0.00000000,ax:0.025555555555555557,ay:0.057777777777777775,az:-0.005555555555555556,q:193.0625,Camera:39,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.29,gy: -3.18,gz: -9.27,mirrer-detection:True
20920,state:3,Time:09:28:34,Lat:0.00000000,Lng:0.00000000,ax:  0.04,ay:0.04555555555555556,az:-0.0033333333333333335,q:193.0625,Camera:40,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.29,gy:  -3.2,gz: -9.26,mirrer-detection:True
21317,state:3,Time:09:28:34,Lat:0.00000000,Lng:0.00000000,ax:0.03222222222222222,ay: -0.02,az:0.011111111111111112,q: 193.0,Camera:41,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.28,gy:  -3.2,gz: -9.26,mirrer-detection:True
21711,state:3,Time:09:28:35,Lat:0.00000000,Lng:0.00000000,ax:-0.03888888888888889,ay:-0.013333333333333334,az:-0.0044444444444444444,q:192.75,Camera:42,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.27,gy: -3.17,gz: -9.27,mirrer-detection:True
22110,state:3,Time:09:28:35,Lat:0.00000000,Lng:0.00000000,ax:0.06111111111111111,ay:0.005555555555555556,az:0.0011111111111111111,q:192.625,Camera:43,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.27,gy: -3.17,gz: -9.27,mirrer-detection:True
22509,state:3,Time:09:28:36,Lat:0.00000000,Lng:0.00000000,ax:0.011111111111111112,ay:-0.01888888888888889,az:0.021111111111111112,q:192.625,Camera:44,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.27,gy: -3.19,gz: -9.26,mirrer-detection:True
