5182,state:6,Time:19:39:04,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:   0.0,az:-0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
18875,state:6,Time:19:39:18,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:   0.0,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:13,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.00944942304223876, 'y': 0.033779618115893126, 'z': 0.16286445938968422, 'roll': -154.20543696893995, 'pitch': -1.6192025395130654, 'yaw': 1.767966405659791, 'norm': 0.16659887853218242}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
19879,state:6,Time:19:39:19,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:14,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
20904,state:6,Time:19:39:20,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:   0.0,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:15,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
21973,state:6,Time:19:39:21,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:16,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
22981,state:6,Time:19:39:22,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:   0.0,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:17,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
23992,state:6,Time:19:39:23,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:18,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
25028,state:6,Time:19:39:24,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0033333333333333335,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:19,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
26073,state:6,Time:19:39:25,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0011111111111111111,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:20,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
27124,state:6,Time:19:39:26,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:0.0033333333333333335,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:21,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
28170,state:6,Time:19:39:27,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:22,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
