5289,state:0,Time:15:26:25,Lat:35.55498833,Lng:139.65494667,ax:-0.005555555555555556,ay:   0.0,az:0.0033333333333333335,q:   0.0,rV:     0,lV:     0,Camera:0
5597,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:-0.0011111111111111111,ay:   0.0,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
5635,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:-0.0022222222222222222,ay:   0.0,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
5672,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:-0.005555555555555556,ay:   0.0,az:0.0033333333333333335,q:359.9375,rV:     0,lV:     0,Camera:0
5707,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:-0.0077777777777777776,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
5742,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:-0.0033333333333333335,ay:-0.0022222222222222222,az:0.0033333333333333335,q:359.9375,rV:     0,lV:     0,Camera:0
5777,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:0.0022222222222222222,q:359.9375,rV:     0,lV:     0,Camera:0
5812,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:0.0011111111111111111,ay:   0.0,az:0.0022222222222222222,q:359.9375,rV:     0,lV:     0,Camera:0
5847,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:0.0022222222222222222,ay:   0.0,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
5883,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:0.005555555555555556,ay:-0.0022222222222222222,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
5919,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
5953,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:-0.0022222222222222222,ay:0.0011111111111111111,az:0.0022222222222222222,q:359.9375,rV:     0,lV:     0,Camera:0
5987,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:-0.0077777777777777776,ay:-0.0011111111111111111,az:0.0044444444444444444,q:359.9375,rV:     0,lV:     0,Camera:0
6023,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:-0.006666666666666667,ay:0.0011111111111111111,az:0.0022222222222222222,q:359.9375,rV:     0,lV:     0,Camera:0
6057,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:-0.0044444444444444444,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6092,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:-0.0022222222222222222,ay:0.0011111111111111111,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
6125,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:   0.0,ay:-0.0022222222222222222,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6163,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:0.0044444444444444444,ay:-0.0022222222222222222,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
6197,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:0.0044444444444444444,ay:0.0033333333333333335,az:-0.0022222222222222222,q:359.9375,rV:     0,lV:     0,Camera:0
6233,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:-0.0044444444444444444,ay:   0.0,az:-0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6269,state:0,Time:15:26:26,Lat:35.55498333,Lng:139.65493833,ax:-0.008888888888888889,ay:-0.0011111111111111111,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
6306,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:-0.022222222222222223,ay:   0.0,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
6340,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:-0.024444444444444446,ay:0.0033333333333333335,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6375,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:-0.012222222222222223,ay:0.0022222222222222222,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
6411,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:0.005555555555555556,ay:-0.0011111111111111111,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
6445,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:0.012222222222222223,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6483,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:0.016666666666666666,ay:-0.0011111111111111111,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
6516,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:0.0033333333333333335,ay:0.0022222222222222222,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6554,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:-0.015555555555555555,ay:0.0022222222222222222,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6588,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:-0.027777777777777776,ay:-0.0022222222222222222,az:0.0022222222222222222,q:359.9375,rV:     0,lV:     0,Camera:0
6624,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:-0.021111111111111112,ay:0.0033333333333333335,az:-0.0022222222222222222,q:359.9375,rV:     0,lV:     0,Camera:0
6659,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax: -0.01,ay:   0.0,az:-0.0033333333333333335,q:359.9375,rV:     0,lV:     0,Camera:0
6695,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:0.008888888888888889,ay:   0.0,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6731,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:  0.01,ay:   0.0,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6767,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:0.008888888888888889,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6805,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:   0.0,ay:   0.0,az:0.0022222222222222222,q:359.9375,rV:     0,lV:     0,Camera:0
6839,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:-0.008888888888888889,ay:-0.0022222222222222222,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
6875,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:-0.0077777777777777776,ay:-0.0022222222222222222,az:0.0022222222222222222,q:359.9375,rV:     0,lV:     0,Camera:0
6910,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:-0.0044444444444444444,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6945,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:   0.0,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
6980,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:0.005555555555555556,ay:-0.0011111111111111111,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
7016,state:0,Time:15:26:27,Lat:35.55497833,Lng:139.65493333,ax:  0.01,ay:-0.0022222222222222222,az:0.0033333333333333335,q:359.9375,rV:     0,lV:     0,Camera:0
