5214,state:0,Time:18:45:43,Lat:35.55581167,Lng:139.65294833,ax:-0.0033333333333333335,ay:   0.0,az:0.005555555555555556,q:   0.0,rV:     0,lV:     0,Camera:0
5521,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
5560,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
5597,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
5633,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:-0.0044444444444444444,ay:   0.0,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
5668,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:0.0033333333333333335,q:359.875,rV:     0,lV:     0,Camera:0
5705,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:-0.0022222222222222222,ay:   0.0,az:0.0033333333333333335,q:359.875,rV:     0,lV:     0,Camera:0
5739,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
5777,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:   0.0,ay:0.0022222222222222222,az:0.0044444444444444444,q:359.875,rV:     0,lV:     0,Camera:0
5810,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:-0.0044444444444444444,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
5848,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:-0.0033333333333333335,ay:-0.0033333333333333335,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
5882,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:-0.0022222222222222222,ay:0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
5918,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
5953,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
5989,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:-0.0022222222222222222,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6024,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:   0.0,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6060,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:-0.0022222222222222222,ay:0.0011111111111111111,az:-0.0033333333333333335,q:359.875,rV:     0,lV:     0,Camera:0
6098,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:   0.0,ay:-0.0022222222222222222,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
6132,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6167,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6201,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6239,state:0,Time:18:45:44,Lat:35.55580833,Lng:139.65294833,ax:-0.0011111111111111111,ay:   0.0,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
6275,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:-0.0011111111111111111,ay:   0.0,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
6310,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:-0.0011111111111111111,ay:   0.0,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
6348,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
6384,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:-0.0011111111111111111,ay:0.0033333333333333335,az:-0.0033333333333333335,q:359.875,rV:     0,lV:     0,Camera:0
6420,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:-0.0022222222222222222,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6456,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:   0.0,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6491,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6530,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:0.0011111111111111111,ay:   0.0,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
6564,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:   0.0,ay:   0.0,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6601,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:0.0011111111111111111,ay:0.0011111111111111111,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
6637,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:0.0011111111111111111,ay:0.0022222222222222222,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
6672,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
6710,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
6746,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:0.0022222222222222222,ay:-0.0022222222222222222,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6783,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:0.0022222222222222222,ay:0.0022222222222222222,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6817,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:0.0022222222222222222,ay:   0.0,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
6855,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:   0.0,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6891,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6927,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:   0.0,ay:0.0022222222222222222,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6962,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:-0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
6999,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:   0.0,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7033,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7068,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:0.0011111111111111111,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7103,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:0.0011111111111111111,ay:   0.0,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7141,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:   0.0,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7177,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:   0.0,ay:   0.0,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
7213,state:0,Time:18:45:45,Lat:35.55580500,Lng:139.65294833,ax:-0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7250,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:0.0011111111111111111,ay:0.0033333333333333335,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7285,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:   0.0,ay:0.0022222222222222222,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
7322,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:-0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7357,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:   0.0,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7395,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:   0.0,ay:-0.0033333333333333335,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7432,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:0.0011111111111111111,ay:0.0022222222222222222,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7467,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:-0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7503,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
7539,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:-0.0044444444444444444,q:359.875,rV:     0,lV:     0,Camera:0
7575,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:-0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7614,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:-0.0033333333333333335,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7652,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:   0.0,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7689,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7725,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7762,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
7796,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
7833,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:   0.0,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7869,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:0.0022222222222222222,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7905,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
7941,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:-0.0033333333333333335,ay:-0.0011111111111111111,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
7976,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:0.0022222222222222222,ay:   0.0,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8013,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:   0.0,ay:0.0011111111111111111,az:0.0033333333333333335,q:359.875,rV:     0,lV:     0,Camera:0
8048,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:0.0011111111111111111,ay:   0.0,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8084,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:0.0011111111111111111,ay:0.0022222222222222222,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
8120,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:0.0022222222222222222,ay:   0.0,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
8156,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8194,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:0.0011111111111111111,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
8228,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8266,state:0,Time:18:45:46,Lat:35.55580333,Lng:139.65295000,ax:0.0022222222222222222,ay:   0.0,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
