5248,state:6,Time:17:52:36,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
20226,state:6,Time:17:52:51,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0022222222222222222,az:   0.0,q:0.0625,rV:     0,lV:     0,Camera:13,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.012034561349878892, 'y': -0.01537773888697182, 'z': 0.10557008427441263, 'roll': -156.2752973359621, 'pitch': 6.029267319080662, 'yaw': -6.208322240352894, 'norm': 0.10736083184228068}},AR-move:none,Color-Approach:True,Color-data:x15y:337Area:3338.5,Color-move:stop,Done-Approach:False,Done-Connect:False
21406,state:6,Time:17:52:52,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0022222222222222222,az:   0.0,q:0.0625,rV:     0,lV:     0,Camera:14,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.01196360969683494, 'y': -0.015244434770743267, 'z': 0.10492354315039963, 'roll': -153.89808240431935, 'pitch': 5.363177500698332, 'yaw': -6.250946312569284, 'norm': 0.1066980349195402}},AR-move:none,Color-Approach:True,Color-data:x14y:334Area:2698.5,Color-move:stop,Done-Approach:False,Done-Connect:False
22562,state:6,Time:17:52:53,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:0.0625,rV:     0,lV:     0,Camera:15,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.012051736135103073, 'y': -0.015306727531693907, 'z': 0.10542368088138304, 'roll': -155.3290041540461, 'pitch': 5.425645955413165, 'yaw': -6.495225917751173, 'norm': 0.10720864117308528}},AR-move:none,Color-Approach:True,Color-data:x15y:336Area:3227.0,Color-move:stop,Done-Approach:False,Done-Connect:False
23751,state:6,Time:17:52:54,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:0.0022222222222222222,q:0.0625,rV:     0,lV:     0,Camera:16,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.012053645502426014, 'y': -0.015298508388582708, 'z': 0.10546112660654088, 'roll': -155.95603962171216, 'pitch': 5.979542773214554, 'yaw': -6.22663583725167, 'norm': 0.10724450547200325}},AR-move:none,Color-Approach:True,Color-data:x15y:336Area:3058.5,Color-move:stop,Done-Approach:False,Done-Connect:False
24930,state:6,Time:17:52:56,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0011111111111111111,az:   0.0,q:0.0625,rV:     0,lV:     0,Camera:17,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.011966170241063447, 'y': -0.01523668465861335, 'z': 0.10496459301378692, 'roll': -154.49635326996355, 'pitch': 5.861482453749541, 'yaw': -5.992163777117827, 'norm': 0.10673758277277064}},AR-move:none,Color-Approach:True,Color-data:x16y:337Area:3337.5,Color-move:stop,Done-Approach:False,Done-Connect:False
26110,state:6,Time:17:52:57,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:0.0625,rV:     0,lV:     0,Camera:18,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.012004628151113108, 'y': -0.015262880899193584, 'z': 0.10513476154999046, 'roll': -154.84759405348757, 'pitch': 5.02710454518449, 'yaw': -6.517537660034086, 'norm': 0.10691297730660586}},AR-move:none,Color-Approach:True,Color-data:x16y:337Area:3092.5,Color-move:stop,Done-Approach:False,Done-Connect:False
27272,state:6,Time:17:52:58,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0011111111111111111,az:-0.0022222222222222222,q:0.0625,rV:     0,lV:     0,Camera:19,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.012053645502426014, 'y': -0.015298508388582708, 'z': 0.10546112660654088, 'roll': -155.95603962171216, 'pitch': 5.979542773214554, 'yaw': -6.22663583725167, 'norm': 0.10724450547200325}},AR-move:none,Color-Approach:True,Color-data:x15y:335Area:2764.0,Color-move:stop,Done-Approach:False,Done-Connect:False
28445,state:6,Time:17:52:59,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:0.0022222222222222222,q:0.0625,rV:     0,lV:     0,Camera:20,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.012007493545945061, 'y': -0.015255703507926937, 'z': 0.10517913236746175, 'roll': -155.4751715801533, 'pitch': 5.540355558720521, 'yaw': -6.256367657149354, 'norm': 0.10695590809464303}},AR-move:none,Color-Approach:True,Color-data:x12y:335Area:2654.5,Color-move:stop,Done-Approach:False,Done-Connect:False
29588,state:6,Time:17:53:00,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:0.0011111111111111111,q:0.0625,rV:     0,lV:     0,Camera:21,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.012007493545945061, 'y': -0.015255703507926937, 'z': 0.10517913236746175, 'roll': -155.4751715801533, 'pitch': 5.540355558720521, 'yaw': -6.256367657149354, 'norm': 0.10695590809464303}},AR-move:none,Color-Approach:True,Color-data:x14y:334Area:2892.5,Color-move:stop,Done-Approach:False,Done-Connect:False
30753,state:6,Time:17:53:01,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0022222222222222222,az:0.0011111111111111111,q:0.0625,rV:     0,lV:     0,Camera:22,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.012007493545945061, 'y': -0.015255703507926937, 'z': 0.10517913236746175, 'roll': -155.4751715801533, 'pitch': 5.540355558720521, 'yaw': -6.256367657149354, 'norm': 0.10695590809464303}},AR-move:none,Color-Approach:True,Color-data:x13y:335Area:2727.5,Color-move:stop,Done-Approach:False,Done-Connect:False
31907,state:6,Time:17:53:03,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0022222222222222222,az:0.0033333333333333335,q:0.0625,rV:     0,lV:     0,Camera:23,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.01200245404683998, 'y': -0.015229994141293633, 'z': 0.10512248950833086, 'roll': -154.81839658096237, 'pitch': 5.284501885406851, 'yaw': -6.448621006061658, 'norm': 0.10689597478445798}},AR-move:none,Color-Approach:True,Color-data:x13y:336Area:2525.0,Color-move:stop,Done-Approach:False,Done-Connect:False
33100,state:6,Time:17:53:04,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:0.0011111111111111111,az:-0.0022222222222222222,q:0.0625,rV:     0,lV:     0,Camera:24,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.012007493545945061, 'y': -0.015255703507926937, 'z': 0.10517913236746175, 'roll': -155.4751715801533, 'pitch': 5.540355558720521, 'yaw': -6.256367657149354, 'norm': 0.10695590809464303}},AR-move:none,Color-Approach:True,Color-data:x14y:332Area:2835.5,Color-move:stop,Done-Approach:False,Done-Connect:False
34252,state:6,Time:17:53:05,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:   0.0,q:0.0625,rV:     0,lV:     0,Camera:25,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.012007493545945061, 'y': -0.015255703507926937, 'z': 0.10517913236746175, 'roll': -155.4751715801533, 'pitch': 5.540355558720521, 'yaw': -6.256367657149354, 'norm': 0.10695590809464303}},AR-move:none,Color-Approach:True,Color-data:x12y:334Area:2226.5,Color-move:stop,Done-Approach:False,Done-Connect:False
35473,state:6,Time:17:53:06,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0044444444444444444,az:   0.0,q:0.0625,rV:     0,lV:     0,Camera:26,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.01196360969683494, 'y': -0.015244434770743267, 'z': 0.10492354315039963, 'roll': -153.89808240431935, 'pitch': 5.363177500698332, 'yaw': -6.250946312569284, 'norm': 0.1066980349195402}},AR-move:none,Color-Approach:True,Color-data:x13y:330Area:2612.0,Color-move:stop,Done-Approach:False,Done-Connect:False
36601,state:6,Time:17:53:07,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:0.0625,rV:     0,lV:     0,Camera:27,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.012053645502426014, 'y': -0.015298508388582708, 'z': 0.10546112660654088, 'roll': -155.95603962171216, 'pitch': 5.979542773214554, 'yaw': -6.22663583725167, 'norm': 0.10724450547200325}},AR-move:none,Color-Approach:True,Color-data:x14y:335Area:2878.5,Color-move:stop,Done-Approach:False,Done-Connect:False
37768,state:6,Time:17:53:08,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0022222222222222222,az:0.0011111111111111111,q:0.0625,rV:     0,lV:     0,Camera:28,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.01200245404683998, 'y': -0.015229994141293633, 'z': 0.10512248950833086, 'roll': -154.81839658096237, 'pitch': 5.284501885406851, 'yaw': -6.448621006061658, 'norm': 0.10689597478445798}},AR-move:none,Color-Approach:True,Color-data:x13y:335Area:2816.5,Color-move:stop,Done-Approach:False,Done-Connect:False
38907,state:6,Time:17:53:10,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0011111111111111111,az:   0.0,q:0.0625,rV:     0,lV:     0,Camera:29,ConnectingState:1,AR-Approach:False,AR-info:{'1': {'x': 0.012053645502426014, 'y': -0.015298508388582708, 'z': 0.10546112660654088, 'roll': -155.95603962171216, 'pitch': 5.979542773214554, 'yaw': -6.22663583725167, 'norm': 0.10724450547200325}},AR-move:none,Color-Approach:True,Color-data:x18y:352Area:2034.0,Color-move:stop,Done-Approach:False,Done-Connect:False
