5184,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0033333333333333335,ay:0.0022222222222222222,az:-0.0022222222222222222,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
6376,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:0.0011111111111111111,az:   0.0,q:   0.0,Camera:1,rV:     0,lV:     0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:True,Color-data:x328y:348Area:1326.5,Color-move:stop,Done-Approach:False,Done-Connect:False
7548,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:0.005555555555555556,az:-0.0022222222222222222,q:   0.0,Camera:2,rV:     0,lV:     0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:True,Color-data:x328y:348Area:1415.5,Color-move:stop,Done-Approach:False,Done-Connect:False
8746,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0022222222222222222,az:   0.0,q:   0.0,Camera:3,rV:    69,lV:    69,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:True,Color-data:x328y:348Area:1389.5,Color-move:stop,Done-Approach:False,Done-Connect:False
9896,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.006666666666666667,ay:   0.0,az:0.0011111111111111111,q:   0.0,Camera:4,rV:    69,lV:    69,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
22168,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:   0.0,Camera:16,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007743559577134519, 'y': 0.023554947867397487, 'z': 0.19441143557109808, 'roll': -152.86464732638586, 'pitch': 44.772862104154235, 'yaw': 14.229468125969824, 'norm': 0.19598623565132237, 'rvec': array([-2.56648538, -0.06443096,  1.12052337])}, '5': {'x': 0.016676251714402922, 'y': 0.022381449581238413, 'z': 0.1908383155129922, 'roll': -148.02461682445175, 'pitch': -38.569456939634826, 'yaw': -27.237532906654963, 'norm': 0.19286858044906124, 'rvec': array([ 3.21213236, -0.44537793,  1.31494208])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
23207,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.006666666666666667,az:   0.0,q:   0.0,Camera:17,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.0076877620975564324, 'y': 0.023473117425556515, 'z': 0.19372925434282934, 'roll': -152.48810558750301, 'pitch': 44.53881433723919, 'yaw': 14.116776433480053, 'norm': 0.19529749848877034, 'rvec': array([-2.56161794, -0.05963332,  1.11283275])}, '5': {'x': 0.016620366450036606, 'y': 0.022399259327199144, 'z': 0.19051941939133765, 'roll': -148.85592902976936, 'pitch': -39.556223279492094, 'yaw': -26.526596846873172, 'norm': 0.19255028580750805, 'rvec': array([-2.56451662,  0.33948176, -1.06546802])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
24207,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:0.0011111111111111111,q:   0.0,Camera:18,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.0076877620975564324, 'y': 0.023473117425556515, 'z': 0.19372925434282934, 'roll': -152.48810558750301, 'pitch': 44.53881433723919, 'yaw': 14.116776433480053, 'norm': 0.19529749848877034, 'rvec': array([-2.56161794, -0.05963332,  1.11283275])}, '5': {'x': 0.016676251714402922, 'y': 0.022381449581238413, 'z': 0.1908383155129922, 'roll': -148.02461682445175, 'pitch': -38.569456939634826, 'yaw': -27.237532906654963, 'norm': 0.19286858044906124, 'rvec': array([ 3.21213236, -0.44537793,  1.31494208])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
25278,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,Camera:19,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.0076877620975564324, 'y': 0.023473117425556515, 'z': 0.19372925434282934, 'roll': -152.48810558750301, 'pitch': 44.53881433723919, 'yaw': 14.116776433480053, 'norm': 0.19529749848877034, 'rvec': array([-2.56161794, -0.05963332,  1.11283275])}, '5': {'x': 0.016676251714402922, 'y': 0.022381449581238413, 'z': 0.1908383155129922, 'roll': -148.02461682445175, 'pitch': -38.569456939634826, 'yaw': -27.237532906654963, 'norm': 0.19286858044906124, 'rvec': array([ 3.21213236, -0.44537793,  1.31494208])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
26319,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:0.0022222222222222222,az:-0.0022222222222222222,q:   0.0,Camera:20,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007678540664560118, 'y': 0.02356319282967104, 'z': 0.1942313718452106, 'roll': -152.05241660915203, 'pitch': 43.80824235497399, 'yaw': 14.556287368802284, 'norm': 0.1958060516223593, 'rvec': array([-2.56100333, -0.06994493,  1.09710249])}, '5': {'x': 0.01672856883632734, 'y': 0.022574825672298664, 'z': 0.19177296549917752, 'roll': -148.40986777288256, 'pitch': -40.24596686241204, 'yaw': -26.463847748412288, 'norm': 0.19382037577560093, 'rvec': array([-2.55561938,  0.32803927, -1.08005096])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
27317,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:   0.0,az:   0.0,q:   0.0,Camera:21,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007678540664560118, 'y': 0.02356319282967104, 'z': 0.1942313718452106, 'roll': -152.05241660915203, 'pitch': 43.80824235497399, 'yaw': 14.556287368802284, 'norm': 0.1958060516223593, 'rvec': array([-2.56100333, -0.06994493,  1.09710249])}, '5': {'x': 0.016786902243792003, 'y': 0.022559680504080897, 'z': 0.19211761942751338, 'roll': -147.57349451891182, 'pitch': -39.26022021963233, 'yaw': -27.18586658537299, 'norm': 0.19416466971589785, 'rvec': array([ 3.20912527, -0.43228008,  1.33672615])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
28367,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0033333333333333335,az:   0.0,q:   0.0,Camera:22,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007743559577134519, 'y': 0.023554947867397487, 'z': 0.19441143557109808, 'roll': -152.86464732638586, 'pitch': 44.772862104154235, 'yaw': 14.229468125969824, 'norm': 0.19598623565132237, 'rvec': array([-2.56648538, -0.06443096,  1.12052337])}, '5': {'x': 0.016676251714402922, 'y': 0.022381449581238413, 'z': 0.1908383155129922, 'roll': -148.02461682445175, 'pitch': -38.569456939634826, 'yaw': -27.237532906654963, 'norm': 0.19286858044906124, 'rvec': array([ 3.21213236, -0.44537793,  1.31494208])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
29380,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0044444444444444444,az:0.0022222222222222222,q:   0.0,Camera:23,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007742705289490715, 'y': 0.02349810280210301, 'z': 0.19440117462682327, 'roll': -151.36228250280396, 'pitch': 43.66088406342468, 'yaw': 15.03325037550489, 'norm': 0.19596919915330252, 'rvec': array([-2.55313658, -0.07481545,  1.09398399])}, '5': {'x': 0.016676251714402922, 'y': 0.022381449581238413, 'z': 0.1908383155129922, 'roll': -148.02461682445175, 'pitch': -38.569456939634826, 'yaw': -27.237532906654963, 'norm': 0.19286858044906124, 'rvec': array([ 3.21213236, -0.44537793,  1.31494208])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
30382,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0033333333333333335,az:-0.0011111111111111111,q:   0.0,Camera:24,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.007742705289490715, 'y': 0.02349810280210301, 'z': 0.19440117462682327, 'roll': -151.36228250280396, 'pitch': 43.66088406342468, 'yaw': 15.03325037550489, 'norm': 0.19596919915330252, 'rvec': array([-2.55313658, -0.07481545,  1.09398399])}, '5': {'x': 0.016762776232800456, 'y': 0.022565503465910873, 'z': 0.19216485216917167, 'roll': -147.92094808095192, 'pitch': -38.79068929166583, 'yaw': -27.07171565115263, 'norm': 0.19420999722697227, 'rvec': array([ 3.21238553, -0.43754672,  1.3211077 ])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
31471,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,Camera:25,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': -0.0076877620975564324, 'y': 0.023473117425556515, 'z': 0.19372925434282934, 'roll': -152.48810558750301, 'pitch': 44.53881433723919, 'yaw': 14.116776433480053, 'norm': 0.19529749848877034, 'rvec': array([-2.56161794, -0.05963332,  1.11283275])}, '5': {'x': 0.016676251714402922, 'y': 0.022381449581238413, 'z': 0.1908383155129922, 'roll': -148.02461682445175, 'pitch': -38.569456939634826, 'yaw': -27.237532906654963, 'norm': 0.19286858044906124, 'rvec': array([ 3.21213236, -0.44537793,  1.31494208])}},AR-move:straight-right,Color-Approach:True,Color-data:x328y:348Area:1264.0,Color-move:stop,Done-Approach:False,Done-Connect:False
