rssi,1m,-86,-87,-86,-86,-86,-87,-78,-74,-74,-93,-74,-75,-74,-75,-78,-81,-79,-77,-78,-78,-78,-78,-77,-79,-77,-81,-79,-80,-80,-80,-79.83333333333333,4.691007946652356
data,1m,-86,-90,-89,-88,-88,-89,-85,-86,-81,-78,-79,-78,-78,-81,-82,-81,-82,-82,-80,-81,-81,-82,-81,-80,-82,-82,-81,-83,-83,-83,-82.73333333333333,3.335998934185814
