rssi,1m,-85,-88,-86,-86,-86,-86,-86,-77,-73,-74,-73,-75,-74,-84,-86,-79,-82,-83,-83,-82,-83,-82,-81,-81,-82,-80,-77,-74,-75,-75,-80.6,4.673328578219169
data,1m,-94,-96,-98,-97,-97,-96,-98,-89,-78,-78,-79,-80,-80,-84,-85,-82,-82,-82,-84,-84,-84,-83,-83,-84,-83,-83,-80,-80,-80,-79,-85.4,6.590902821313633
rssi,20m,-79,-88,-77,-78,-75,-75,-74,-77,-74,-77,-75,-75,-75,-75,-77,-77,-75,-74,-75,-86,-82,-83,-82,-81,-91,-74,-80,-79,-80,-79,-78.3,4.275121830622686
data,20m,-79,-82,-78,-78,-80,-79,-80,-80,-80,-78,-81,-81,-79,-81,-81,-79,-81,-79,-79,-80,-91,-89,-89,-87,-89,-80,-81,-82,-82,-81,-81.53333333333333,3.5565276448931034
