6696,state:0,Time:10:02:38,Lat:0.00000000,Lng:0.00000000,ax:-0.4222222222222222,ay:-1.4088888888888889,az: -2.03,q: 24.75,Camera:0
6731,state:0,Time:10:02:38,Lat:0.00000000,Lng:0.00000000,ax:-0.8611111111111112,ay:-1.0277777777777777,az:-1.6211111111111112,q:28.8125,Camera:0
6765,state:0,Time:10:02:38,Lat:0.00000000,Lng:0.00000000,ax:-0.8266666666666667,ay:-0.9777777777777777,az:-1.481111111111111,q:31.375,Camera:0
6802,state:0,Time:10:02:38,Lat:0.00000000,Lng:0.00000000,ax:-0.6988888888888889,ay:-1.1211111111111112,az:-1.5222222222222221,q:34.8125,Camera:0
6835,state:0,Time:10:02:38,Lat:0.00000000,Lng:0.00000000,ax: -0.54,ay:-1.051111111111111,az:-1.3344444444444445,q:37.1875,Camera:0
6869,state:0,Time:10:02:38,Lat:0.00000000,Lng:0.00000000,ax:-0.1988888888888889,ay:-0.8822222222222222,az:-1.2522222222222221,q:  40.0,Camera:0
6904,state:0,Time:10:02:38,Lat:0.00000000,Lng:0.00000000,ax: -0.15,ay:-0.7533333333333333,az:-1.1033333333333333,q:41.9375,Camera:0
6940,state:0,Time:10:02:38,Lat:0.00000000,Lng:0.00000000,ax:-0.3511111111111111,ay:-0.7288888888888889,az:  -0.8,q:43.875,Camera:0
6975,state:0,Time:10:02:38,Lat:0.00000000,Lng:0.00000000,ax:-0.30777777777777776,ay:-0.7866666666666666,az:-0.36333333333333334,q: 44.75,Camera:0
7013,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:-0.39222222222222225,ay:-0.6855555555555556,az:-0.14666666666666667,q: 45.25,Camera:0
7049,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:-0.19555555555555557,ay:-0.4766666666666667,az:-0.27111111111111114,q:45.875,Camera:0
7084,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:0.14777777777777779,ay:-0.30666666666666664,az:-0.2411111111111111,q:46.3125,Camera:0
7118,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:0.005555555555555556,ay:  -0.2,az: -0.24,q:46.8125,Camera:0
7154,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:-0.34444444444444444,ay:-0.2966666666666667,az: -0.15,q:47.1875,Camera:0
7191,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:-0.37333333333333335,ay:-0.4766666666666667,az: -0.24,q: 47.75,Camera:0
7226,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:-0.5811111111111111,ay:-0.4444444444444444,az:-0.21777777777777776,q:48.3125,Camera:0
7263,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:-0.8177777777777778,ay:-0.31666666666666665,az:-0.19444444444444445,q:49.0625,Camera:0
7298,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:-0.5166666666666667,ay:-0.37555555555555553,az:-0.3055555555555556,q:49.6875,Camera:0
7332,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:-0.2877777777777778,ay:-0.35777777777777775,az:-0.23444444444444446,q:50.4375,Camera:0
7367,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax: -0.15,ay:-0.38333333333333336,az:-0.22777777777777777,q:50.9375,Camera:0
7405,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:0.07777777777777778,ay:-0.2722222222222222,az:-0.4766666666666667,q:51.625,Camera:0
7442,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:   0.1,ay:-0.057777777777777775,az:-0.5811111111111111,q:52.8125,Camera:0
7476,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:0.07666666666666666,ay:0.0011111111111111111,az:-0.6133333333333333,q: 53.75,Camera:0
7513,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:-0.04555555555555556,ay:-0.13777777777777778,az:-0.5888888888888889,q:55.0625,Camera:0
7547,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:0.03222222222222222,ay:-0.2822222222222222,az:-0.5577777777777778,q:  56.0,Camera:0
7581,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:0.20222222222222222,ay:-0.29888888888888887,az:-0.6111111111111112,q:57.1875,Camera:0
7616,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:-0.07777777777777778,ay:-0.16666666666666666,az: -0.61,q:58.1875,Camera:0
7652,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:-0.4011111111111111,ay:  -0.1,az:-0.5166666666666667,q:59.5625,Camera:0
7686,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:-0.5711111111111111,ay:-0.08444444444444445,az:-0.7155555555555555,q:60.875,Camera:0
7721,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:-0.19777777777777777,ay:0.03666666666666667,az:-0.9777777777777777,q:63.0625,Camera:0
7757,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.3511111111111111,az:-1.1022222222222222,q:64.8125,Camera:0
7793,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:-0.16555555555555557,ay:  0.39,az:-1.0255555555555556,q:67.1875,Camera:0
7828,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax: -0.03,ay:0.1388888888888889,az:-0.9222222222222223,q: 68.75,Camera:0
7865,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:-0.1388888888888889,ay:0.06444444444444444,az:-0.6322222222222222,q:70.4375,Camera:0
7899,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:0.04111111111111111,ay:0.017777777777777778,az:-0.6188888888888889,q:71.4375,Camera:0
7933,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:0.38555555555555554,ay:0.006666666666666667,az:-0.8022222222222222,q:72.9375,Camera:0
7968,state:0,Time:10:02:39,Lat:0.00000000,Lng:0.00000000,ax:0.37333333333333335,ay:0.06666666666666667,az:-0.7055555555555556,q:  74.0,Camera:0
