5213,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0044444444444444444,ay:   0.0,az:0.005555555555555556,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
17519,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0022222222222222222,az:0.0011111111111111111,q:0.0625,Camera:12,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
18523,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:   0.0,az:   0.0,q:0.0625,Camera:13,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
19566,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:0.0625,Camera:14,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
20591,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0022222222222222222,az:0.0011111111111111111,q:0.0625,Camera:15,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
21597,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0022222222222222222,az:-0.0022222222222222222,q:0.0625,Camera:16,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012576027603613886, 'y': 0.026916989115998366, 'z': 0.15365724304898007, 'roll': 113.40596077685747, 'pitch': -0.13604670315981177, 'yaw': -0.2525149760725271, 'norm': 0.15650312813094494, 'rvec': array([ 1.97929741e+00, -5.90502567e-03, -5.14829454e-04])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
22605,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:0.0011111111111111111,q:0.0625,Camera:17,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012574141905539285, 'y': 0.02693431029256309, 'z': 0.15363090761860232, 'roll': 113.69356738195076, 'pitch': -0.26345602527748896, 'yaw': 0.03396845647886577, 'norm': 0.15648010062404813, 'rvec': array([ 1.98432436, -0.00239185,  0.00494637])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
23624,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:0.0011111111111111111,az:   0.0,q:0.0625,Camera:18,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
24674,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:0.0625,Camera:19,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.013851703300018286, 'y': 0.02565905920390727, 'z': 0.1585278491867387, 'roll': 113.90836314903288, 'pitch': -0.43276657416089, 'yaw': 0.04956347936202058, 'norm': 0.1611872698798349, 'rvec': array([ 1.98806821, -0.00402452,  0.00806756])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
25692,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:0.0625,Camera:20,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.015557829089737551, 'y': 0.02626717744898965, 'z': 0.15669634790099218, 'roll': 114.95883953068889, 'pitch': 0.07211434910036109, 'yaw': -0.057151306338837436, 'norm': 0.15964258862418565, 'rvec': array([ 2.00641038e+00, -1.95630166e-04, -1.90067291e-03])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
26703,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:0.0625,Camera:21,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.01543357050007486, 'y': 0.02592432675000313, 'z': 0.1568267046118155, 'roll': 113.89669607101689, 'pitch': 0.6779942136759883, 'yaw': -0.15432024211164427, 'norm': 0.15970247679739769, 'rvec': array([ 1.98786016,  0.00497604, -0.0135034 ])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
27731,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:0.0011111111111111111,az:-0.0011111111111111111,q:0.0625,Camera:22,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.01543357050007486, 'y': 0.02592432675000313, 'z': 0.1568267046118155, 'roll': 113.89669607101689, 'pitch': 0.6779942136759883, 'yaw': -0.15432024211164427, 'norm': 0.15970247679739769, 'rvec': array([ 1.98786016,  0.00497604, -0.0135034 ])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
