5222,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0077777777777777776,ay:   0.0,az:-0.0022222222222222222,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:0,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
10579,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:   0.0,Camera:12,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.010101334562979316, 'y': -0.026571518753296122, 'z': 0.1435420008796452, 'roll': -153.1427604162738, 'pitch': -2.68432515751833, 'yaw': -4.432859292287563, 'norm': 0.14632972556983107, 'rvec': array([-2.67225699,  0.08845728, -0.08728454])}, '11': {'x': 0.008715749857579983, 'y': 0.007151143785079103, 'z': 0.13453669648653452, 'roll': -150.10350880940317, 'pitch': 8.070375143930907, 'yaw': 3.408338233915653, 'norm': 0.13500824365395134, 'rvec': array([-2.61734721, -0.02856075,  0.20531332])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
11008,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:0.0011111111111111111,az:   0.0,q:   0.0,Camera:13,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.008723122249930552, 'y': 0.0071923379710798095, 'z': 0.13496756124661072, 'roll': -150.79967261475136, 'pitch': 8.196239604823466, 'yaw': 3.6579530199852313, 'norm': 0.1354402642353266, 'rvec': array([-2.6294926 , -0.03487103,  0.21014424])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
11439,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0022222222222222222,az:-0.0022222222222222222,q:   0.0,Camera:14,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.008715749857579983, 'y': 0.007151143785079103, 'z': 0.13453669648653452, 'roll': -150.10350880940317, 'pitch': 8.070375143930907, 'yaw': 3.408338233915653, 'norm': 0.13500824365395134, 'rvec': array([-2.61734721, -0.02856075,  0.20531332])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
11918,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0044444444444444444,az:   0.0,q:   0.0,Camera:15,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.010101334562979316, 'y': -0.026571518753296122, 'z': 0.1435420008796452, 'roll': -153.1427604162738, 'pitch': -2.68432515751833, 'yaw': -4.432859292287563, 'norm': 0.14632972556983107, 'rvec': array([-2.67225699,  0.08845728, -0.08728454])}, '11': {'x': 0.008715749857579983, 'y': 0.007151143785079103, 'z': 0.13453669648653452, 'roll': -150.10350880940317, 'pitch': 8.070375143930907, 'yaw': 3.408338233915653, 'norm': 0.13500824365395134, 'rvec': array([-2.61734721, -0.02856075,  0.20531332])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
12353,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,Camera:16,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.010101334562979316, 'y': -0.026571518753296122, 'z': 0.1435420008796452, 'roll': -153.1427604162738, 'pitch': -2.68432515751833, 'yaw': -4.432859292287563, 'norm': 0.14632972556983107, 'rvec': array([-2.67225699,  0.08845728, -0.08728454])}, '11': {'x': 0.008715749857579983, 'y': 0.007151143785079103, 'z': 0.13453669648653452, 'roll': -150.10350880940317, 'pitch': 8.070375143930907, 'yaw': 3.408338233915653, 'norm': 0.13500824365395134, 'rvec': array([-2.61734721, -0.02856075,  0.20531332])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
12774,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0011111111111111111,az:   0.0,q:   0.0,Camera:17,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'11': {'x': 0.008715749857579983, 'y': 0.007151143785079103, 'z': 0.13453669648653452, 'roll': -150.10350880940317, 'pitch': 8.070375143930907, 'yaw': 3.408338233915653, 'norm': 0.13500824365395134, 'rvec': array([-2.61734721, -0.02856075,  0.20531332])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
13214,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:   0.0,Camera:18,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.01003212366267792, 'y': -0.026407143593337117, 'z': 0.14256891505559027, 'roll': -151.29956295959596, 'pitch': -2.423912596263753, 'yaw': -4.584351484255635, 'norm': 0.14534055276511956, 'rvec': array([-2.64001092,  0.09136439, -0.08286784])}, '11': {'x': 0.008715749857579983, 'y': 0.007151143785079103, 'z': 0.13453669648653452, 'roll': -150.10350880940317, 'pitch': 8.070375143930907, 'yaw': 3.408338233915653, 'norm': 0.13500824365395134, 'rvec': array([-2.61734721, -0.02856075,  0.20531332])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
13638,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:   0.0,Camera:19,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.010101334562979316, 'y': -0.026571518753296122, 'z': 0.1435420008796452, 'roll': -153.1427604162738, 'pitch': -2.68432515751833, 'yaw': -4.432859292287563, 'norm': 0.14632972556983107, 'rvec': array([-2.67225699,  0.08845728, -0.08728454])}, '11': {'x': 0.008715749857579983, 'y': 0.007151143785079103, 'z': 0.13453669648653452, 'roll': -150.10350880940317, 'pitch': 8.070375143930907, 'yaw': 3.408338233915653, 'norm': 0.13500824365395134, 'rvec': array([-2.61734721, -0.02856075,  0.20531332])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
14117,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:   0.0,Camera:20,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.010101334562979316, 'y': -0.026571518753296122, 'z': 0.1435420008796452, 'roll': -153.1427604162738, 'pitch': -2.68432515751833, 'yaw': -4.432859292287563, 'norm': 0.14632972556983107, 'rvec': array([-2.67225699,  0.08845728, -0.08728454])}, '11': {'x': 0.00866436715192519, 'y': 0.007107065343584262, 'z': 0.1340509638840547, 'roll': -149.39350711244947, 'pitch': 7.9052028614824374, 'yaw': 3.6391568673414754, 'norm': 0.1345185584006366, 'rvec': array([-2.60528504, -0.03348829,  0.20253908])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
14548,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:0.0022222222222222222,az:   0.0,q:   0.0,Camera:21,rV:   -90,lV:   -90,ConnectingState:0,AR-Approach:True,AR-info:{'1': {'x': 0.010101334562979316, 'y': -0.026571518753296122, 'z': 0.1435420008796452, 'roll': -153.1427604162738, 'pitch': -2.68432515751833, 'yaw': -4.432859292287563, 'norm': 0.14632972556983107, 'rvec': array([-2.67225699,  0.08845728, -0.08728454])}, '11': {'x': 0.00866436715192519, 'y': 0.007107065343584262, 'z': 0.1340509638840547, 'roll': -149.39350711244947, 'pitch': 7.9052028614824374, 'yaw': 3.6391568673414754, 'norm': 0.1345185584006366, 'rvec': array([-2.60528504, -0.03348829,  0.20253908])}, '16': {'x': 0.024022937012137348, 'y': -0.0008234839928365266, 'z': 0.13497537238851942, 'roll': 160.20546184508208, 'pitch': -59.38868372271513, 'yaw': -67.14785607152255, 'norm': 0.13709898168839574, 'rvec': array([ 1.68907308, -1.380328  ,  0.82187698])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
