5225,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0077777777777777776,ay:   0.0,az:0.0022222222222222222,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
18498,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:   0.0,az:-0.0022222222222222222,q:359.9375,Camera:13,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
19500,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:   0.0,az:0.0022222222222222222,q:359.9375,Camera:14,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
20571,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:359.9375,Camera:15,rV:    80,lV:   -80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': -0.004399853031290651, 'y': 0.02684932249033027, 'z': 0.1537834398482996, 'roll': 137.27796032246414, 'pitch': 65.82744115506266, 'yaw': 43.688279523096796, 'norm': 0.15617167219589567, 'rvec': array([ 1.59635627,  1.16196489, -0.87142274])}},AR-move:stay-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
21601,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:0.0022222222222222222,az:-0.0011111111111111111,q:359.9375,Camera:16,rV:    80,lV:   -80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': -0.004398950360873069, 'y': 0.026727554391950768, 'z': 0.15295828727401353, 'roll': 136.4366978288736, 'pitch': 65.98563712916462, 'yaw': 42.6350394365202, 'norm': 0.15533818131371233, 'rvec': array([ 1.59536095,  1.15320532, -0.87562543])}},AR-move:stay-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
22621,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:   0.0,az:0.0022222222222222222,q:359.9375,Camera:17,rV:    80,lV:   -80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': -0.004392087932100577, 'y': 0.026941953762322186, 'z': 0.1543121841349911, 'roll': 136.8639263832346, 'pitch': 65.49612733111451, 'yaw': 43.37108270970939, 'norm': 0.156708038981559, 'rvec': array([ 1.5987532 ,  1.15943028, -0.86435886])}},AR-move:stay-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
23656,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,Camera:18,rV:    80,lV:   -80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': -0.004399853031290651, 'y': 0.02684932249033027, 'z': 0.1537834398482996, 'roll': 137.27796032246414, 'pitch': 65.82744115506266, 'yaw': 43.688279523096796, 'norm': 0.15617167219589567, 'rvec': array([ 1.59635627,  1.16196489, -0.87142274])}},AR-move:stay-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
24670,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:359.9375,Camera:19,rV:    80,lV:   -80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': -0.004392087932100577, 'y': 0.026941953762322186, 'z': 0.1543121841349911, 'roll': 136.8639263832346, 'pitch': 65.49612733111451, 'yaw': 43.37108270970939, 'norm': 0.156708038981559, 'rvec': array([ 1.5987532 ,  1.15943028, -0.86435886])}},AR-move:stay-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
25675,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:359.9375,Camera:20,rV:    80,lV:   -80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': -0.004496948966329711, 'y': 0.02666118916120074, 'z': 0.1524484671239743, 'roll': 136.02439002153156, 'pitch': 66.48334628551395, 'yaw': 42.384291423902546, 'norm': 0.1548275708197496, 'rvec': array([ 1.58610998,  1.15302637, -0.88173373])}},AR-move:stay-left,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
26735,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:   0.0,az:   0.0,q:359.9375,Camera:21,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.0053214294245982705, 'y': 0.02841989492408819, 'z': 0.14720873839904453, 'roll': 127.99220806627878, 'pitch': 61.39947055113166, 'yaw': 33.483612356739435, 'norm': 0.1500214008055368, 'rvec': array([ 1.638672  ,  1.05990196, -0.8024151 ])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
27761,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.9375,Camera:22,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.005309607586969992, 'y': 0.028450139381362913, 'z': 0.14747997132605414, 'roll': 128.3473791718641, 'pitch': 60.89762477643712, 'yaw': 33.729681890368205, 'norm': 0.15029286179283544, 'rvec': array([ 1.64694646,  1.0592001 , -0.79507671])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
