5182,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:   0.0,az:0.0044444444444444444,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
17603,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0011111111111111111,az:   0.0,q:359.875,Camera:12,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012880488011257246, 'y': 0.017722639183530616, 'z': 0.18261216700757416, 'roll': -173.7442001148757, 'pitch': -69.02957114591693, 'yaw': -90.51683186175427, 'norm': 0.18392172914106672, 'rvec': array([ 1.5420688 , -1.44336328,  1.10360538])}},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
18631,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:359.875,Camera:13,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012890097717835954, 'y': 0.017764081402300742, 'z': 0.1827545000210726, 'roll': -174.11241109726237, 'pitch': -69.36212774927654, 'yaw': -90.50139908804265, 'norm': 0.18406771711844297, 'rvec': array([ 1.53381787, -1.44099704,  1.10135119])}},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
19637,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0022222222222222222,az:0.0011111111111111111,q:359.875,Camera:14,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012890097717835954, 'y': 0.017764081402300742, 'z': 0.1827545000210726, 'roll': -174.11241109726237, 'pitch': -69.36212774927654, 'yaw': -90.50139908804265, 'norm': 0.18406771711844297, 'rvec': array([ 1.53381787, -1.44099704,  1.10135119])}},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
20668,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0022222222222222222,az:0.0011111111111111111,q:359.875,Camera:15,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.012880488011257246, 'y': 0.017722639183530616, 'z': 0.18261216700757416, 'roll': -173.7442001148757, 'pitch': -69.02957114591693, 'yaw': -90.51683186175427, 'norm': 0.18392172914106672, 'rvec': array([ 1.5420688 , -1.44336328,  1.10360538])}},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
21709,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:   0.0,az:   0.0,q:359.875,Camera:16,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.01297954474627959, 'y': 0.01784832196509383, 'z': 0.18362986616516772, 'roll': -173.01220137093787, 'pitch': -68.52204894362426, 'yaw': -91.43831063054256, 'norm': 0.18495123391485585, 'rvec': array([ 1.54282929, -1.4558055 ,  1.10056834])}},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
22704,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:0.0022222222222222222,az:   0.0,q:359.875,Camera:17,rV:     0,lV:    80,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
23713,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.875,Camera:18,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': -0.00011011158712172391, 'y': 0.01614444444979987, 'z': 0.1914537195091442, 'roll': -166.42608626476053, 'pitch': -68.33936158938054, 'yaw': -98.9672532657335, 'norm': 0.19213324003159982, 'rvec': array([ 1.50570639, -1.49861842,  1.12541172])}},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
24734,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.875,Camera:19,rV:     0,lV:    80,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
25757,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.875,Camera:20,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.0001952507252757247, 'y': 0.017317163271340724, 'z': 0.18408396336635505, 'roll': -165.42830501231262, 'pitch': -68.6114513739462, 'yaw': -99.35646917926441, 'norm': 0.18489680320459176, 'rvec': array([ 1.50839926, -1.49230778,  1.13930766])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
26800,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.875,Camera:21,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.00019502999670349024, 'y': 0.017356185682943455, 'z': 0.18420300797361244, 'roll': -165.65337560466966, 'pitch': -68.94787785405346, 'yaw': -99.4953922815368, 'norm': 0.1850189810929872, 'rvec': array([ 1.50000286, -1.49002441,  1.13686449])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
27809,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:359.875,Camera:22,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.00019502999670349024, 'y': 0.017356185682943455, 'z': 0.18420300797361244, 'roll': -165.65337560466966, 'pitch': -68.94787785405346, 'yaw': -99.4953922815368, 'norm': 0.1850189810929872, 'rvec': array([ 1.50000286, -1.49002441,  1.13686449])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
28836,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.875,Camera:23,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.00019502999670349024, 'y': 0.017356185682943455, 'z': 0.18420300797361244, 'roll': -165.65337560466966, 'pitch': -68.94787785405346, 'yaw': -99.4953922815368, 'norm': 0.1850189810929872, 'rvec': array([ 1.50000286, -1.49002441,  1.13686449])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
29847,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:359.875,Camera:24,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.00019502999670349024, 'y': 0.017356185682943455, 'z': 0.18420300797361244, 'roll': -165.65337560466966, 'pitch': -68.94787785405346, 'yaw': -99.4953922815368, 'norm': 0.1850189810929872, 'rvec': array([ 1.50000286, -1.49002441,  1.13686449])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
30855,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.875,Camera:25,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.00019502999670349024, 'y': 0.017356185682943455, 'z': 0.18420300797361244, 'roll': -165.65337560466966, 'pitch': -68.94787785405346, 'yaw': -99.4953922815368, 'norm': 0.1850189810929872, 'rvec': array([ 1.50000286, -1.49002441,  1.13686449])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
31925,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0033333333333333335,az:0.0022222222222222222,q:359.875,Camera:26,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.00019502999670349024, 'y': 0.017356185682943455, 'z': 0.18420300797361244, 'roll': -165.65337560466966, 'pitch': -68.94787785405346, 'yaw': -99.4953922815368, 'norm': 0.1850189810929872, 'rvec': array([ 1.50000286, -1.49002441,  1.13686449])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
32933,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:   0.0,az:-0.0022222222222222222,q:359.875,Camera:27,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.00019502999670349024, 'y': 0.017356185682943455, 'z': 0.18420300797361244, 'roll': -165.65337560466966, 'pitch': -68.94787785405346, 'yaw': -99.4953922815368, 'norm': 0.1850189810929872, 'rvec': array([ 1.50000286, -1.49002441,  1.13686449])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
33942,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.875,Camera:28,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.00019502999670349024, 'y': 0.017356185682943455, 'z': 0.18420300797361244, 'roll': -165.65337560466966, 'pitch': -68.94787785405346, 'yaw': -99.4953922815368, 'norm': 0.1850189810929872, 'rvec': array([ 1.50000286, -1.49002441,  1.13686449])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
34958,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:   0.0,az:0.0011111111111111111,q:359.875,Camera:29,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.00019502999670349024, 'y': 0.017356185682943455, 'z': 0.18420300797361244, 'roll': -165.65337560466966, 'pitch': -68.94787785405346, 'yaw': -99.4953922815368, 'norm': 0.1850189810929872, 'rvec': array([ 1.50000286, -1.49002441,  1.13686449])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
