5229,state:6,Time:18:48:57,Lat:0.00000000,Lng:0.00000000,ax:-0.0044444444444444444,ay:0.0044444444444444444,az:0.0011111111111111111,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
20797,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:359.9375,Camera:12,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.008250431499425356, 'y': 0.039200253527527575, 'z': 0.13820448846089092, 'roll': -150.53777901931582, 'pitch': 22.632992901544977, 'yaw': 17.49529192025957, 'norm': 0.1438930510041596, 'rvec': array([-2.61664315, -0.26282354,  0.6244464 ])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
21794,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.14222222222222222,ay:-0.0033333333333333335,az:0.0011111111111111111,q:367.9375,Camera:13,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.0082043472592521, 'y': 0.03905810761232018, 'z': 0.1377701481876356, 'roll': -150.11442016891044, 'pitch': 22.243544278365345, 'yaw': 17.736508137839447, 'norm': 0.1434345175187934, 'rvec': array([-2.61014239, -0.26812001,  0.61675903])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
23406,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.0077777777777777776,ay:   0.0,az:0.0044444444444444444,q:367.9375,Camera:14,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.008133217355987633, 'y': 0.03891562441921349, 'z': 0.13825831370866404, 'roll': -150.3519428352663, 'pitch': 22.19242148445082, 'yaw': 17.896743433048066, 'norm': 0.14386082287426408, 'rvec': array([-2.61421818, -0.27370626,  0.6166139 ])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
24709,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.14333333333333334,ay:0.0044444444444444444,az:   0.0,q:367.9375,Camera:15,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.008083840495617745, 'y': 0.03769433368544095, 'z': 0.14220724262532192, 'roll': -150.29163801915627, 'pitch': 23.087942243033737, 'yaw': 18.121724238245243, 'norm': 0.14734012055188883, 'rvec': array([-2.61222905, -0.27271492,  0.6385229 ])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
26313,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.14888888888888888,ay:-0.006666666666666667,az:-0.0022222222222222222,q:367.9375,Camera:16,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.008201784080852354, 'y': 0.037901586120624046, 'z': 0.14314859948971378, 'roll': -150.70471681648132, 'pitch': 23.181030502302207, 'yaw': 17.73311657216473, 'norm': 0.148308196093252, 'rvec': array([-2.6188164 , -0.26592135,  0.63855106])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
27642,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:-0.0022222222222222222,q:359.9375,Camera:17,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.007354362347751425, 'y': 0.03617188660399215, 'z': 0.147890071407975, 'roll': -150.83471768855557, 'pitch': 24.452871951756897, 'yaw': 18.165897518717657, 'norm': 0.15242691772482325, 'rvec': array([-2.61939406, -0.26867342,  0.67049865])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
29215,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.14444444444444443,ay:0.0033333333333333335,az:   0.0,q:367.9375,Camera:18,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.007398911330803719, 'y': 0.03621901397456127, 'z': 0.14790450281988254, 'roll': -150.20363177693093, 'pitch': 23.909372806233918, 'yaw': 18.786163058853376, 'norm': 0.1524542646716293, 'rvec': array([-2.61000022, -0.28210926,  0.6613207 ])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
30520,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:-0.0033333333333333335,az:0.0011111111111111111,q:359.9375,Camera:19,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.007343188352784001, 'y': 0.03605557589936601, 'z': 0.1472335238975481, 'roll': -149.81067806381748, 'pitch': 23.908924200869002, 'yaw': 18.67511761737597, 'norm': 0.15176177887699285, 'rvec': array([-2.60343166, -0.27680771,  0.66047458])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
31525,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:359.9375,Camera:20,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.007398911330803719, 'y': 0.03621901397456127, 'z': 0.14790450281988254, 'roll': -150.20363177693093, 'pitch': 23.909372806233918, 'yaw': 18.786163058853376, 'norm': 0.1524542646716293, 'rvec': array([-2.61000022, -0.28210926,  0.6613207 ])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
32525,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.14333333333333334,ay:0.0022222222222222222,az:-0.0033333333333333335,q:367.9375,Camera:21,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.006962801333139149, 'y': 0.0364989314925495, 'z': 0.14660805654330525, 'roll': -150.23140676009479, 'pitch': 24.752736061033666, 'yaw': 18.34565818656404, 'norm': 0.15124342909993668, 'rvec': array([-2.6090528 , -0.26662871,  0.67810016])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
