6821,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:0.22111111111111112,ay:-0.10777777777777778,az:0.23555555555555555,q: 11.25,Camera:0
6855,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:0.17777777777777778,ay:-0.1511111111111111,az:0.20666666666666667,q:10.875,Camera:0
6890,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:0.09222222222222222,ay:-0.17888888888888888,az:0.14888888888888888,q:  10.5,Camera:0
6926,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:0.07333333333333333,ay:-0.23555555555555555,az:0.06555555555555556,q:10.375,Camera:0
6963,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:0.015555555555555555,ay:-0.16777777777777778,az: -0.01,q:10.3125,Camera:0
6998,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:-0.16777777777777778,ay: -0.06,az:-0.10444444444444445,q:  10.5,Camera:0
7035,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:-0.23666666666666666,ay:0.19777777777777777,az:-0.15777777777777777,q: 10.75,Camera:0
7071,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:-0.16777777777777778,ay:0.2811111111111111,az:-0.19555555555555557,q:11.1875,Camera:0
7105,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:0.0077777777777777776,ay:0.23444444444444446,az:-0.24444444444444444,q:11.5625,Camera:0
7139,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:0.022222222222222223,ay:0.12111111111111111,az:-0.27555555555555555,q:12.1875,Camera:0
7174,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:-0.022222222222222223,ay:0.04666666666666667,az:-0.1988888888888889,q:12.5625,Camera:0
7211,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax: -0.02,ay:0.02666666666666667,az:-0.14333333333333334,q:12.875,Camera:0
7245,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:-0.015555555555555555,ay:0.04777777777777778,az:-0.05333333333333334,q:13.0625,Camera:0
7281,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:-0.014444444444444444,ay:0.06444444444444444,az:-0.012222222222222223,q:13.0625,Camera:0
7316,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:-0.03888888888888889,ay:  0.09,az:-0.0022222222222222222,q:13.0625,Camera:0
7350,state:0,Time:08:35:32,Lat:40.89361667,Lng:-119.10943000,ax:-0.06555555555555556,ay:0.07555555555555556,az:-0.0033333333333333335,q:13.125,Camera:0
7385,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:-0.12777777777777777,ay:0.025555555555555557,az:-0.05555555555555555,q:13.1875,Camera:0
7421,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:-0.10777777777777778,ay:   0.0,az:-0.10111111111111111,q:13.375,Camera:0
7455,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:-0.03777777777777778,ay:0.0022222222222222222,az:  -0.1,q:13.5625,Camera:0
7492,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:-0.0044444444444444444,ay:-0.0077777777777777776,az:-0.07888888888888888,q:13.6875,Camera:0
7528,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.0011111111111111111,ay: -0.01,az: -0.07,q:13.875,Camera:0
7564,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:-0.006666666666666667,ay:-0.016666666666666666,az:-0.06111111111111111,q:  14.0,Camera:0
7597,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.0044444444444444444,ay: -0.04,az:-0.04777777777777778,q:14.0625,Camera:0
7633,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.008888888888888889,ay:-0.056666666666666664,az:-0.03888888888888889,q:14.125,Camera:0
7669,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.0033333333333333335,ay: -0.05,az:-0.025555555555555557,q:14.1875,Camera:0
7704,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.0033333333333333335,ay:-0.04555555555555556,az:-0.03111111111111111,q: 14.25,Camera:0
7738,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:  0.01,ay: -0.02,az:-0.027777777777777776,q:14.3125,Camera:0
7773,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.023333333333333334,ay:-0.015555555555555555,az:-0.0022222222222222222,q:14.3125,Camera:0
7809,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.01888888888888889,ay:-0.03111111111111111,az:0.0022222222222222222,q:14.3125,Camera:0
7843,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.013333333333333334,ay:-0.02666666666666667,az:-0.0022222222222222222,q:14.3125,Camera:0
7879,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.011111111111111112,ay:-0.03888888888888889,az:-0.0022222222222222222,q:14.3125,Camera:0
7914,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.027777777777777776,ay:-0.03111111111111111,az:-0.015555555555555555,q:14.3125,Camera:0
7948,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.04555555555555556,ay: -0.01,az:-0.03111111111111111,q:14.375,Camera:0
7982,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.07222222222222222,ay:0.025555555555555557,az:-0.02666666666666667,q:14.375,Camera:0
8019,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.052222222222222225,ay:0.027777777777777776,az:-0.008888888888888889,q:14.4375,Camera:0
8053,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.006666666666666667,ay:0.01888888888888889,az:-0.017777777777777778,q:14.4375,Camera:0
8087,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:-0.015555555555555555,ay:0.03222222222222222,az:-0.0022222222222222222,q:  14.5,Camera:0
8121,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.006666666666666667,ay:0.025555555555555557,az:0.02666666666666667,q:14.4375,Camera:0
8157,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.0044444444444444444,ay:0.0033333333333333335,az:0.013333333333333334,q:14.4375,Camera:0
8191,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:  0.01,ay:-0.015555555555555555,az:0.0044444444444444444,q:14.4375,Camera:0
8228,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.035555555555555556,ay:0.0011111111111111111,az:0.0011111111111111111,q:14.4375,Camera:0
8262,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.03333333333333333,ay:0.017777777777777778,az:  0.02,q:14.375,Camera:0
8296,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:0.013333333333333334,ay:0.016666666666666666,az:0.01888888888888889,q:14.375,Camera:0
8331,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax:-0.012222222222222223,ay:0.011111111111111112,az:0.006666666666666667,q:14.375,Camera:0
8369,state:0,Time:08:35:33,Lat:40.89361667,Lng:-119.10943000,ax: -0.01,ay:0.035555555555555556,az:0.01888888888888889,q:14.3125,Camera:0
8403,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:-0.03888888888888889,ay:0.057777777777777775,az:0.023333333333333334,q:14.3125,Camera:0
8437,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:-0.03888888888888889,ay:0.06555555555555556,az:0.024444444444444446,q: 14.25,Camera:0
8472,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:-0.04111111111111111,ay:  0.05,az:0.034444444444444444,q:14.1875,Camera:0
8508,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:-0.057777777777777775,ay:0.03888888888888889,az:0.05333333333333334,q:14.125,Camera:0
8542,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:-0.06111111111111111,ay:0.013333333333333334,az:0.056666666666666664,q:  14.0,Camera:0
8579,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:-0.06666666666666667,ay:-0.011111111111111112,az:0.06333333333333334,q:13.875,Camera:0
8614,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:-0.057777777777777775,ay:-0.03777777777777778,az:0.06333333333333334,q: 13.75,Camera:0
8649,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:-0.07888888888888888,ay:-0.08555555555555555,az:0.07888888888888888,q:13.625,Camera:0
8683,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:-0.06666666666666667,ay:-0.16111111111111112,az:0.06111111111111111,q:13.4375,Camera:0
8719,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:0.005555555555555556,ay:-0.2088888888888889,az:0.07666666666666666,q:13.3125,Camera:0
8754,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:-0.01888888888888889,ay:-0.18555555555555556,az:  0.08,q:13.125,Camera:0
8788,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:-0.04888888888888889,ay:-0.14555555555555555,az:0.042222222222222223,q:  13.0,Camera:0
8822,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:-0.03777777777777778,ay: -0.08,az:0.025555555555555557,q:12.9375,Camera:0
8859,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:-0.011111111111111112,ay:-0.012222222222222223,az:0.025555555555555557,q:12.875,Camera:0
8893,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:-0.005555555555555556,ay:0.014444444444444444,az:0.0033333333333333335,q:12.875,Camera:0
8929,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:0.0044444444444444444,ay:0.03111111111111111,az:-0.006666666666666667,q:12.875,Camera:0
8964,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:0.01888888888888889,ay:0.025555555555555557,az:-0.0033333333333333335,q:12.875,Camera:0
8998,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:0.011111111111111112,ay:0.016666666666666666,az:0.0044444444444444444,q:12.875,Camera:0
9032,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:0.0022222222222222222,ay:0.0077777777777777776,az:0.017777777777777778,q:12.8125,Camera:0
9068,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:-0.0033333333333333335,ay:  0.02,az:0.014444444444444444,q:12.8125,Camera:0
9104,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:0.0033333333333333335,ay:0.03666666666666667,az:-0.006666666666666667,q:12.8125,Camera:0
9138,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:0.028888888888888888,ay:0.04777777777777778,az: -0.03,q:12.875,Camera:0
9175,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:0.008888888888888889,ay:0.04111111111111111,az:-0.056666666666666664,q:12.9375,Camera:0
9211,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:-0.0022222222222222222,ay:0.04888888888888889,az:-0.07555555555555556,q:13.0625,Camera:0
9247,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:0.03111111111111111,ay:0.006666666666666667,az:-0.09222222222222222,q: 13.25,Camera:0
9281,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:0.04777777777777778,ay:-0.021111111111111112,az:-0.07555555555555556,q:13.4375,Camera:0
9318,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:0.04777777777777778,ay:-0.052222222222222225,az:-0.04666666666666667,q:  13.5,Camera:0
9354,state:0,Time:08:35:34,Lat:40.89361667,Lng:-119.10943000,ax:0.012222222222222223,ay:-0.07111111111111111,az:-0.043333333333333335,q:13.625,Camera:0
9389,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.0022222222222222222,ay:-0.058888888888888886,az:-0.04666666666666667,q:13.6875,Camera:0
9426,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.03333333333333333,ay:-0.008888888888888889,az:-0.04555555555555556,q: 13.75,Camera:0
9462,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.043333333333333335,ay:0.0077777777777777776,az: -0.05,q:13.875,Camera:0
9496,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.03333333333333333,ay:0.03111111111111111,az:-0.06666666666666667,q:  14.0,Camera:0
9531,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.034444444444444444,ay:0.023333333333333334,az: -0.06,q:14.125,Camera:0
9567,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.006666666666666667,ay:0.025555555555555557,az:-0.04777777777777778,q:14.1875,Camera:0
9604,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax: -0.01,ay:0.017777777777777778,az:-0.027777777777777776,q:14.3125,Camera:0
9638,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:-0.0033333333333333335,ay:0.0011111111111111111,az:-0.017777777777777778,q:14.3125,Camera:0
9678,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.015555555555555555,ay:-0.024444444444444446,az:-0.0077777777777777776,q:14.3125,Camera:0
9715,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.014444444444444444,ay:-0.02666666666666667,az: -0.01,q:14.3125,Camera:0
9749,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.017777777777777778,ay:-0.03888888888888889,az:-0.022222222222222223,q:14.375,Camera:0
9783,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.021111111111111112,ay:-0.04777777777777778,az:-0.022222222222222223,q:14.4375,Camera:0
9818,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.027777777777777776,ay:-0.035555555555555556,az: -0.02,q:14.4375,Camera:0
9855,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.03777777777777778,ay:-0.03333333333333333,az:-0.021111111111111112,q:  14.5,Camera:0
9889,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.024444444444444446,ay:-0.04888888888888889,az:-0.03222222222222222,q:14.5625,Camera:0
9925,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.028888888888888888,ay:-0.07777777777777778,az:-0.024444444444444446,q:14.5625,Camera:0
9959,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.028888888888888888,ay:-0.09111111111111111,az:-0.024444444444444446,q:14.625,Camera:0
9993,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.013333333333333334,ay:-0.12222222222222222,az:-0.017777777777777778,q:14.625,Camera:0
10027,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.011111111111111112,ay:-0.15666666666666668,az:-0.024444444444444446,q:14.625,Camera:0
10064,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.056666666666666664,ay:-0.15222222222222223,az:-0.023333333333333334,q:14.6875,Camera:0
10099,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:  0.06,ay:-0.10555555555555556,az:-0.013333333333333334,q:14.6875,Camera:0
10134,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.03222222222222222,ay:0.04777777777777778,az:0.022222222222222223,q:14.6875,Camera:0
10172,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:  0.03,ay:0.19666666666666666,az:0.03777777777777778,q:14.625,Camera:0
10206,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:0.042222222222222223,ay:0.26555555555555554,az:0.025555555555555557,q:14.5625,Camera:0
10239,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:  0.01,ay:0.25555555555555554,az:0.03222222222222222,q:14.5625,Camera:0
10274,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:-0.013333333333333334,ay:0.12111111111111111,az:0.011111111111111112,q:14.5625,Camera:0
10311,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:-0.051111111111111114,ay:0.03888888888888889,az:-0.023333333333333334,q:14.5625,Camera:0
10345,state:0,Time:08:35:35,Lat:40.89361833,Lng:-119.10943167,ax:-0.01888888888888889,ay:-0.05444444444444444,az:-0.08666666666666667,q:14.6875,Camera:0
10378,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:0.07444444444444444,ay: -0.11,az: -0.07,q:14.875,Camera:0
10414,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:0.16777777777777778,ay:-0.09666666666666666,az:-0.024444444444444446,q:14.875,Camera:0
10451,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:0.10333333333333333,ay:0.034444444444444444,az:0.015555555555555555,q:14.875,Camera:0
10484,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:-0.04666666666666667,ay:0.18222222222222223,az:0.051111111111111114,q:14.8125,Camera:0
10522,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:  -0.1,ay:0.12555555555555556,az:0.09666666666666666,q:14.6875,Camera:0
10558,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax: -0.15,ay:0.021111111111111112,az:0.09444444444444444,q:14.4375,Camera:0
10592,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:-0.11555555555555555,ay:-0.056666666666666664,az:  0.02,q:14.375,Camera:0
10626,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:-0.027777777777777776,ay: -0.08,az:-0.0011111111111111111,q:14.375,Camera:0
10662,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:0.09111111111111111,ay:-0.05444444444444444,az:-0.015555555555555555,q:14.375,Camera:0
10697,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:0.10222222222222223,ay:0.017777777777777778,az:-0.0011111111111111111,q:14.375,Camera:0
10732,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:0.051111111111111114,ay:0.07222222222222222,az:   0.0,q:14.375,Camera:0
10766,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:0.021111111111111112,ay:0.05333333333333334,az:-0.012222222222222223,q:14.4375,Camera:0
10803,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:0.014444444444444444,ay:0.006666666666666667,az:-0.057777777777777775,q:  14.5,Camera:0
10838,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:0.03111111111111111,ay:-0.006666666666666667,az:-0.10444444444444445,q:14.6875,Camera:0
10873,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:0.044444444444444446,ay:0.015555555555555555,az:-0.14666666666666667,q:14.9375,Camera:0
10909,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:0.07111111111111111,ay:-0.011111111111111112,az:-0.11888888888888889,q: 15.25,Camera:0
10943,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:0.06222222222222222,ay:-0.14333333333333334,az:-0.08444444444444445,q:15.375,Camera:0
10977,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:0.027777777777777776,ay:-0.0033333333333333335,az:-0.07666666666666666,q:15.5625,Camera:0
11011,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:0.012222222222222223,ay:-0.07111111111111111,az:-0.08777777777777777,q:15.6875,Camera:0
11047,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:0.044444444444444446,ay:-0.11888888888888889,az:-0.10555555555555556,q:15.875,Camera:0
11081,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:  0.04,ay:-0.09333333333333334,az:-0.1288888888888889,q:16.0625,Camera:0
11116,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:-0.044444444444444446,ay: -0.04,az:-0.14222222222222222,q:16.375,Camera:0
11151,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax: -0.03,ay:-0.021111111111111112,az:-0.1922222222222222,q:16.6875,Camera:0
11186,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:-0.051111111111111114,ay:-0.015555555555555555,az:-0.1922222222222222,q:17.125,Camera:0
11221,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:-0.07777777777777778,ay:-0.008888888888888889,az:-0.22111111111111112,q:17.4375,Camera:0
11256,state:0,Time:08:35:36,Lat:40.89361833,Lng:-119.10943167,ax:-0.06222222222222222,ay:-0.012222222222222223,az:-0.2644444444444444,q:  18.0,Camera:0
